"Chemical Name","Male Rat Chronic Bioassay Level of Evidence","Female Rat Chronic Bioassay Level of Evidence","Male Mouse Chronic Bioassay Level of Evidence","Female Mouse Chronic Bioassay Level of Evidence","Male Hamster Chronic Bioassay Level of Evidence","Female Hamster Chronic Bioassay Level of Evidence","Male Fish Chronic Bioassay Level of Evidence","Female Fish Chronic Bioassay Level of Evidence","Multiple Level of Evidence Conclusion? T/F","Bacterial Mutagenicity Conclusion","Male Rat Micronucleus Conclusion","Female Rat Micronucleus Conclusion","Male Mouse Micronucleus Conclusion","Female Mouse Micronucleus Conclusion","In Vitro Micronucleus Conclusion","Male Rat Comet Assay Conclusion","Female Rat Comet Assay Conclusion","Male Mouse Comet Assay Conclusion","Female Mouse Comet Assay Conclusion","NTP Publication Number",DTXSID,CASRN
"Elmiron (sodium pentosanpolysulfate)","No Evidence","No Evidence","Some Evidence","Some Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=37319-17-8)",Negative,,Negative,Negative,,,,,,TR-512,DTXSID1025229," 37319-17-8 ( https://cebs.niehs.nih.gov/cebs/test_article/37319-17-8)"
"Methylphenidate hydrochloride","No Evidence","No Evidence","Some Evidence","Some Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=298-59-9)",Negative,,Negative,Negative,,Negative,,,,TR-439,DTXSID8020886," 298-59-9 ( https://cebs.niehs.nih.gov/cebs/test_article/298-59-9)"
"Ethinyl estradiol","No Evidence","No Evidence",,,,,,,T,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=57-63-6)",,,Negative,Negative,,,,,,TR-548,DTXSID5020576," 57-63-6 ( https://cebs.niehs.nih.gov/cebs/test_article/57-63-6)"
"Sodium azide","No Evidence","No Evidence",,,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=26628-22-8)",,,,,,,,,,TR-389,DTXSID8020121," 26628-22-8 ( https://cebs.niehs.nih.gov/cebs/test_article/26628-22-8)"
"Styrene-acrylonitrile trimer","No Evidence","No Evidence",,,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=SANTRIMER2)",Positive,Positive,,,,Positive,Positive,,,TR-573,DTXSID8032093," SANTRIMER2 ( https://cebs.niehs.nih.gov/cebs/test_article/SANTRIMER2)"
Benzofuran,"No Evidence","Some Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=271-89-6)",,,,,,,,,,TR-370,DTXSID6020141," 271-89-6 ( https://cebs.niehs.nih.gov/cebs/test_article/271-89-6)"
Pulegone,"No Evidence","Some Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=89-82-7)",,,Negative,Negative,,,,,,TR-563,DTXSID3051757," 89-82-7 ( https://cebs.niehs.nih.gov/cebs/test_article/89-82-7)"
Indole-3-carbinol,"No Evidence","Some Evidence","Clear Evidence","No Evidence",,,,,F,"Positive; Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=700-06-1)",Negative,,Negative,Negative,,,,,,TR-584,DTXSID7031458," 700-06-1 ( https://cebs.niehs.nih.gov/cebs/test_article/700-06-1)"
beta-Picoline,"No Evidence","Some Evidence","Equivocal Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=108-99-6)",,,Negative,Negative,,,,,,TR-580,DTXSID9021897," 108-99-6 ( https://cebs.niehs.nih.gov/cebs/test_article/108-99-6)"
"p-Nitrobenzoic acid","No Evidence","Some Evidence","No Evidence","No Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=62-23-7)",,,Negative,Negative,,,,,,TR-442,DTXSID3020966," 62-23-7 ( https://cebs.niehs.nih.gov/cebs/test_article/62-23-7)"
Genistein,"No Evidence","Some Evidence",,,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=446-72-0)",,,,,,,,,,"TR-539 | TR-545",DTXSID5022308," 446-72-0 ( https://cebs.niehs.nih.gov/cebs/test_article/446-72-0)"
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Positive,"Clear Evidence",Positive,Positive,,,,,T,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=1746-01-6)",,,,,,,,,,"TR-201 | TR-209 | TR-521",DTXSID2021315," 1746-01-6 ( https://cebs.niehs.nih.gov/cebs/test_article/1746-01-6)"
4-Amino-2-nitrophenol,Positive,"Equivocal Evidence",Negative,Negative,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=119-34-6)",,,,,,,,,,TR-094,DTXSID6020064," 119-34-6 ( https://cebs.niehs.nih.gov/cebs/test_article/119-34-6)"
"Allyl isothiocyanate",Positive,"Equivocal Evidence",Negative,Negative,,,,,F,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=57-06-7)",,,Negative,,,,,,,TR-234,DTXSID3020047," 57-06-7 ( https://cebs.niehs.nih.gov/cebs/test_article/57-06-7)"
"D&C Red No. 9",Positive,"Equivocal Evidence",Negative,Negative,,,,,F,"Weakly Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=5160-02-1)",,,,,,,,,,TR-225,DTXSID3021229," 5160-02-1 ( https://cebs.niehs.nih.gov/cebs/test_article/5160-02-1)"
"3-Chloromethylpyridine hydrochloride",Positive,"Equivocal Evidence",Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=6959-48-4)",,,Negative,,,,,,,TR-095,DTXSID6020309," 6959-48-4 ( https://cebs.niehs.nih.gov/cebs/test_article/6959-48-4)"
"11-Aminoundecanoic acid",Positive,Negative,"Equivocal Evidence",Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2432-99-7)",,,Negative,,,,,,,TR-216,DTXSID5020077," 2432-99-7 ( https://cebs.niehs.nih.gov/cebs/test_article/2432-99-7)"
Ziram,Positive,Negative,Negative,"Equivocal Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=137-30-4)",,,,,,,,,,TR-238,DTXSID0021464," 137-30-4 ( https://cebs.niehs.nih.gov/cebs/test_article/137-30-4)"
2-Amino-5-nitrothiazole,Positive,Negative,Negative,Negative,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=121-66-4)",,,,,,,,,,TR-053,DTXSID6020066," 121-66-4 ( https://cebs.niehs.nih.gov/cebs/test_article/121-66-4)"
"4,4'-Sulfonyldianiline (Dapsone)",Positive,Negative,Negative,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=80-08-0)",,,,,,,,,,TR-020,DTXSID4020371," 80-08-0 ( https://cebs.niehs.nih.gov/cebs/test_article/80-08-0)"
Melamine,Positive,Negative,Negative,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=108-78-1)",,,Negative,,,,,,,TR-245,DTXSID6020802," 108-78-1 ( https://cebs.niehs.nih.gov/cebs/test_article/108-78-1)"
4-Chloro-m-phenylenediamine,Positive,Negative,Negative,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=5131-60-2)",,,,,,,,,,TR-085,DTXSID0020282," 5131-60-2 ( https://cebs.niehs.nih.gov/cebs/test_article/5131-60-2)"
"Allyl isovalerate",Positive,Negative,Negative,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2835-39-4)",,,,,,,,,,TR-253,DTXSID4039233," 2835-39-4 ( https://cebs.niehs.nih.gov/cebs/test_article/2835-39-4)"
"C.I. Disperse Yellow 3",Positive,Negative,Negative,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2832-40-8)",,,Negative,,,,,,,TR-222,DTXSID6021450," 2832-40-8 ( https://cebs.niehs.nih.gov/cebs/test_article/2832-40-8)"
Trimethylphosphate,Positive,Negative,Negative,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=512-56-1)",,,,,,,,,,TR-081,DTXSID1021403," 512-56-1 ( https://cebs.niehs.nih.gov/cebs/test_article/512-56-1)"
p-Nitrosodiphenylamine,Positive,Negative,Positive,Negative,,,,,F,"Weakly Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=156-10-5)",,,,,,,,,,TR-190,DTXSID1021031," 156-10-5 ( https://cebs.niehs.nih.gov/cebs/test_article/156-10-5)"
"2,4,6-Trichlorophenol",Positive,Negative,Positive,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=88-06-2)",,,,,,,,,,TR-155,DTXSID5021386," 88-06-2 ( https://cebs.niehs.nih.gov/cebs/test_article/88-06-2)"
Chloroform,Positive,Negative,Positive,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=67-66-3)",,,Positive,,,,,,,TR-000_(67-66-3),DTXSID1020306," 67-66-3 ( https://cebs.niehs.nih.gov/cebs/test_article/67-66-3)"
"Cinnamyl anthranilate",Positive,Negative,Positive,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=87-29-6)",,,Negative,,,,,,,TR-196,DTXSID3020330," 87-29-6 ( https://cebs.niehs.nih.gov/cebs/test_article/87-29-6)"
Reserpine,Positive,Negative,Positive,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=50-55-5)",,,Negative,,,,,,,TR-193,DTXSID7021237," 50-55-5 ( https://cebs.niehs.nih.gov/cebs/test_article/50-55-5)"
"2,4,5-Trimethylaniline",Positive,Positive,"Equivocal Evidence",Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=137-17-7)",,,,,,,,,,TR-160,DTXSID9021398," 137-17-7 ( https://cebs.niehs.nih.gov/cebs/test_article/137-17-7)"
"4,4'-Methylenebis(N,N-dimethyl)benzenamine",Positive,Positive,"Equivocal Evidence",Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=101-61-1)",,,,,,,,,,TR-186,DTXSID5020869," 101-61-1 ( https://cebs.niehs.nih.gov/cebs/test_article/101-61-1)"
5-Nitro-o-anisidine,Positive,Positive,"Equivocal Evidence",Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=99-59-2)",,,,,,,,,,TR-127,DTXSID0020943," 99-59-2 ( https://cebs.niehs.nih.gov/cebs/test_article/99-59-2)"
"2,4-Dinitrotoluene",Positive,Positive,Negative,Negative,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=121-14-2)",,,,,,,,,,TR-054,DTXSID0020529," 121-14-2 ( https://cebs.niehs.nih.gov/cebs/test_article/121-14-2)"
"3,3'-Dimethoxybenzidine-4,4'-diisocyanate",Positive,Positive,Negative,Negative,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=91-93-0)",,,,,,,,,,TR-128,DTXSID6020484," 91-93-0 ( https://cebs.niehs.nih.gov/cebs/test_article/91-93-0)"
"Aniline hydrochloride",Positive,Positive,Negative,Negative,,,,,F," ()",,,,,,,,,,TR-130,DTXSID3020091," 142-04-1 ( https://cebs.niehs.nih.gov/cebs/test_article/142-04-1)"
Azobenzene,Positive,Positive,Negative,Negative,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=103-33-3)",,,,,,,,,,TR-154,DTXSID8020123," 103-33-3 ( https://cebs.niehs.nih.gov/cebs/test_article/103-33-3)"
"C.I. Solvent Yellow 14",Positive,Positive,Negative,Negative,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=842-07-9)",,,Equivocal,,,,,,,TR-226,DTXSID4021135," 842-07-9 ( https://cebs.niehs.nih.gov/cebs/test_article/842-07-9)"
Chlorothalonil,Positive,Positive,Negative,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=1897-45-6)",,,,,,,,,,TR-041,DTXSID0020319," 1897-45-6 ( https://cebs.niehs.nih.gov/cebs/test_article/1897-45-6)"
Cytembena,Positive,Positive,Negative,Negative,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=21739-91-3)",,,Negative,,,,,,,TR-207,DTXSID5020368," 21739-91-3 ( https://cebs.niehs.nih.gov/cebs/test_article/21739-91-3)"
"N,N'-Diethylthiourea",Positive,Positive,Negative,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=105-55-5)",,,,,,,,,,TR-149,DTXSID8020466," 105-55-5 ( https://cebs.niehs.nih.gov/cebs/test_article/105-55-5)"
N-Nitrosodiphenylamine,Positive,Positive,Negative,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=86-30-6)",,,,,,,,,,TR-164,DTXSID6021030," 86-30-6 ( https://cebs.niehs.nih.gov/cebs/test_article/86-30-6)"
"Nitrilotriacetic acid trisodium monohydrate",Positive,Positive,Negative,Negative,,,,,T,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=18662-53-8)",,,,,,,,,,TR-006,DTXSID5020940," 18662-53-8 ( https://cebs.niehs.nih.gov/cebs/test_article/18662-53-8)"
Pivalolactone,Positive,Positive,Negative,Negative,,,,,F," ()",,,,,,,,,,TR-140,DTXSID0021171," 1955-45-9 ( https://cebs.niehs.nih.gov/cebs/test_article/1955-45-9)"
1-Amino-2-methylanthraquinone,Positive,Positive,Negative,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=82-28-0)",,,,,,,,,,TR-111,DTXSID7020057," 82-28-0 ( https://cebs.niehs.nih.gov/cebs/test_article/82-28-0)"
"2,4- & 2,6-Toluene diisocyanate",Positive,Positive,Negative,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=26471-62-5)",,,,,,,,,,TR-251,DTXSID0024341," 26471-62-5 ( https://cebs.niehs.nih.gov/cebs/test_article/26471-62-5)"
"2,4-Diaminotoluene",Positive,Positive,Negative,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=95-80-7)",,,Negative,Negative,,,,,,TR-162,DTXSID4020402," 95-80-7 ( https://cebs.niehs.nih.gov/cebs/test_article/95-80-7)"
5-Nitroacenaphthene,Positive,Positive,Negative,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=602-87-9)",,,,,,,,,,TR-118,DTXSID3020960," 602-87-9 ( https://cebs.niehs.nih.gov/cebs/test_article/602-87-9)"
Hydrazobenzene,Positive,Positive,Negative,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=122-66-7)",,,,,,,,,,TR-092,DTXSID7020710," 122-66-7 ( https://cebs.niehs.nih.gov/cebs/test_article/122-66-7)"
"Phenazopyridine hydrochloride",Positive,Positive,Negative,Positive,,,,,F,"Positive; Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=136-40-3)",,,,,,,,,,TR-099,DTXSID1021118," 136-40-3 ( https://cebs.niehs.nih.gov/cebs/test_article/136-40-3)"
"Selenium sulfide",Positive,Positive,Negative,Positive,,,,,T,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=7446-34-6)",,,Negative,,,,,,,"TR-194 | TR-197",DTXSID9021265," 7446-34-6 ( https://cebs.niehs.nih.gov/cebs/test_article/7446-34-6)"
"1,2-Dibromo-3-chloropropane",Positive,Positive,Positive,Positive,,,,,T,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=96-12-8)",,,Negative,,,,,,,"TR-028 | TR-206",DTXSID3020413," 96-12-8 ( https://cebs.niehs.nih.gov/cebs/test_article/96-12-8)"
"1,2-Dibromoethane",Positive,Positive,Positive,Positive,,,,,T,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=106-93-4)",,,Positive,,,,,,,"TR-086 | TR-210",DTXSID3020415," 106-93-4 ( https://cebs.niehs.nih.gov/cebs/test_article/106-93-4)"
"1,2-Dichloroethane",Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=107-06-2)",,,Negative,Negative,,,,,,TR-055,DTXSID6020438," 107-06-2 ( https://cebs.niehs.nih.gov/cebs/test_article/107-06-2)"
"1,4-Dioxane",Positive,Positive,Positive,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=123-91-1)",,,"Negative; Equivocal",,,,,,,TR-080,DTXSID4020533," 123-91-1 ( https://cebs.niehs.nih.gov/cebs/test_article/123-91-1)"
"2,4-Diaminoanisole sulfate",Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=39156-41-7)",,,,,,,,,,TR-084,DTXSID7020398," 39156-41-7 ( https://cebs.niehs.nih.gov/cebs/test_article/39156-41-7)"
2-Methyl-1-nitroanthraquinone,Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=129-15-7)",,,,,,,,,,TR-029,DTXSID7020847," 129-15-7 ( https://cebs.niehs.nih.gov/cebs/test_article/129-15-7)"
"3-Amino-9-ethylcarbazole HCl",Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=6109-97-3)",,,,,,,,,,TR-093,DTXSID2020054," 6109-97-3 ( https://cebs.niehs.nih.gov/cebs/test_article/6109-97-3)"
"4,4'-Methylenedianiline dihydrochloride",Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=13552-44-8)",,,,,,,,,,TR-248,DTXSID9020871," 13552-44-8 ( https://cebs.niehs.nih.gov/cebs/test_article/13552-44-8)"
"4,4'-Oxydianiline",Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=101-80-4)",,,Positive,,,,,,,TR-205,DTXSID0021094," 101-80-4 ( https://cebs.niehs.nih.gov/cebs/test_article/101-80-4)"
"4,4'-Thiodianiline",Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=139-65-1)",,,,,,,,,,TR-047,DTXSID9021344," 139-65-1 ( https://cebs.niehs.nih.gov/cebs/test_article/139-65-1)"
4-Chloro-o-phenylenediamine,Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=95-83-0)",,,Positive,,,,,,,TR-063,DTXSID5020283," 95-83-0 ( https://cebs.niehs.nih.gov/cebs/test_article/95-83-0)"
Chlordecone,Positive,Positive,Positive,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=143-50-0)",,,,,,,,,,TR-000_(143-50-0),DTXSID1020770," 143-50-0 ( https://cebs.niehs.nih.gov/cebs/test_article/143-50-0)"
Cupferron,Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=135-20-6)",,,,,,,,,,TR-100,DTXSID1020352," 135-20-6 ( https://cebs.niehs.nih.gov/cebs/test_article/135-20-6)"
"Diglycidyl resorcinol ether (DGRE)",Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=101-90-6)",,,"Positive; Negative",,,,,,,TR-257,DTXSID2020470," 101-90-6 ( https://cebs.niehs.nih.gov/cebs/test_article/101-90-6)"
"Ethyl acrylate",Positive,Positive,Positive,Positive,,,,,F,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=140-88-5)",,,,,,,,,,TR-259,DTXSID4020583," 140-88-5 ( https://cebs.niehs.nih.gov/cebs/test_article/140-88-5)"
"Michler's ketone",Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=90-94-8)",,,,,,,,,,TR-181,DTXSID2020894," 90-94-8 ( https://cebs.niehs.nih.gov/cebs/test_article/90-94-8)"
"Nitrilotriacetic acid (NTA)",Positive,Positive,Positive,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=139-13-9)",,,,,,,,,,TR-006,DTXSID6020939," 139-13-9 ( https://cebs.niehs.nih.gov/cebs/test_article/139-13-9)"
"Phenoxybenzamine hydrochloride",Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=63-92-3)",,,,,,,,,,TR-072,DTXSID0021127," 63-92-3 ( https://cebs.niehs.nih.gov/cebs/test_article/63-92-3)"
"Procarbazine hydrochloride",Positive,Positive,Positive,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=366-70-1)",,,,,,,,,,TR-019,DTXSID3021190," 366-70-1 ( https://cebs.niehs.nih.gov/cebs/test_article/366-70-1)"
Sulfallate,Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=95-06-7)",,,,,,,,,,TR-115,DTXSID7021289," 95-06-7 ( https://cebs.niehs.nih.gov/cebs/test_article/95-06-7)"
"o-Anisidine hydrochloride",Positive,Positive,Positive,Positive,,,,,F," ()",,,Negative,,,,,,,TR-089,DTXSID8020092," 134-29-2 ( https://cebs.niehs.nih.gov/cebs/test_article/134-29-2)"
"o-Toluidine hydrochloride",Positive,Positive,Positive,Positive,,,,,F,"Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=636-21-5)",,,,,,,,,,TR-153,DTXSID7021364," 636-21-5 ( https://cebs.niehs.nih.gov/cebs/test_article/636-21-5)"
p-Cresidine,Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=120-71-8)",,,Negative,,,,,,,TR-142,DTXSID1020350," 120-71-8 ( https://cebs.niehs.nih.gov/cebs/test_article/120-71-8)"
"tris(2,3-Dibromopropyl) phosphate",Positive,Positive,Positive,Positive,,,,,F," ()",,,,,,,,,,TR-076,DTXSID5021413," 126-72-7 ( https://cebs.niehs.nih.gov/cebs/test_article/126-72-7)"
"tris(Aziridinyl)-phosphine sulfide (Thio-TEPA)",Positive,Positive,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=52-24-4)",,,,,,,,,,TR-058,DTXSID0021339," 52-24-4 ( https://cebs.niehs.nih.gov/cebs/test_article/52-24-4)"
m-Cresidine,Positive,Positive,,Negative,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=102-50-1)",,,,,,,,,,TR-105,DTXSID2020349," 102-50-1 ( https://cebs.niehs.nih.gov/cebs/test_article/102-50-1)"
"2,6-Xylidine",Positive,Positive,,,,,,,F,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=87-62-7)",,,,,,,,,,TR-278,DTXSID8026307," 87-62-7 ( https://cebs.niehs.nih.gov/cebs/test_article/87-62-7)"
Acronycine,Positive,Positive,,,,,,,F," ()",,,,,,,,,,TR-049,DTXSID0020026," 7008-42-6 ( https://cebs.niehs.nih.gov/cebs/test_article/7008-42-6)"
Lasiocarpine,Positive,Positive,,,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=303-34-4)",,,,,,,,,,TR-039,DTXSID1020772," 303-34-4 ( https://cebs.niehs.nih.gov/cebs/test_article/303-34-4)"
2-Aminoanthraquinone,Positive,,Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=117-79-3)",,,,,,,,,,TR-144,DTXSID6020068," 117-79-3 ( https://cebs.niehs.nih.gov/cebs/test_article/117-79-3)"
Anthraquinone,"Some Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=84-65-1)",,,"Positive; Negative",Positive,,,,,,TR-494,DTXSID3020095," 84-65-1 ( https://cebs.niehs.nih.gov/cebs/test_article/84-65-1)"
"Cobalt sulfate heptahydrate","Some Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Weakly Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=10026-24-1)",,,,,,,,,,TR-471,DTXSID7020340," 10026-24-1 ( https://cebs.niehs.nih.gov/cebs/test_article/10026-24-1)"
"Methylene chloride","Some Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=75-09-2)",,,,,,,,,,TR-306,DTXSID0020868," 75-09-2 ( https://cebs.niehs.nih.gov/cebs/test_article/75-09-2)"
1-Bromopropane,"Some Evidence","Clear Evidence","No Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=106-94-5)",,,Negative,Negative,,,,,,TR-564,DTXSID6021874," 106-94-5 ( https://cebs.niehs.nih.gov/cebs/test_article/106-94-5)"
Talc,"Some Evidence","Clear Evidence","No Evidence","No Evidence",,,,,F," ()",,,,,,,,,,TR-421,DTXSID5032109," 14807-96-6 ( https://cebs.niehs.nih.gov/cebs/test_article/14807-96-6)"
Tribromomethane,"Some Evidence","Clear Evidence","No Evidence","No Evidence",,,,,F,"Positive; Negative; Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=75-25-2)",,,Negative,,,,,,,TR-350,DTXSID1021374," 75-25-2 ( https://cebs.niehs.nih.gov/cebs/test_article/75-25-2)"
2-Methylimidazole,"Some Evidence","Clear Evidence","Some Evidence","Some Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=693-98-1)",Negative,,"Positive; Negative",Positive,,,,,,TR-516,DTXSID4022107," 693-98-1 ( https://cebs.niehs.nih.gov/cebs/test_article/693-98-1)"
Pyridine,"Some Evidence","Equivocal Evidence","Clear Evidence","Clear Evidence",,,,,T,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=110-86-1)",,,Negative,Negative,,,,,,TR-470,DTXSID9021924," 110-86-1 ( https://cebs.niehs.nih.gov/cebs/test_article/110-86-1)"
"Vanadium pentoxide","Some Evidence","Equivocal Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=1314-62-1)",,,Negative,Negative,,,,,,TR-507,DTXSID2023806," 1314-62-1 ( https://cebs.niehs.nih.gov/cebs/test_article/1314-62-1)"
"Bromoethane (ethyl bromide)","Some Evidence","Equivocal Evidence","Equivocal Evidence","Clear Evidence",,,,,F,"Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=74-96-4)",,,,,,,,,,TR-363,DTXSID6020199," 74-96-4 ( https://cebs.niehs.nih.gov/cebs/test_article/74-96-4)"
"Mercuric chloride","Some Evidence","Equivocal Evidence","Equivocal Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=7487-94-7)",,,,,,,,,,TR-408,DTXSID5020811," 7487-94-7 ( https://cebs.niehs.nih.gov/cebs/test_article/7487-94-7)"
Coumarin,"Some Evidence","Equivocal Evidence","Some Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=91-64-5)",,,Negative,Negative,,,,,,TR-422,DTXSID7020348," 91-64-5 ( https://cebs.niehs.nih.gov/cebs/test_article/91-64-5)"
