"Publication No."	"Publication Title"	"CASRN"	"Test Article Name"	"Test Article No."	"Testing Status URL"	"Study No."	"Species"	"Sex"	"Route"	"Exposure"	"Organ"	"Level of Evidence"	"Tumor Type/Incidence"	"Finding Type"	"Lab"	"Peer Review Date"	"Description"
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Lung"	"TR-400"	"ALVEOLAR/BRONCHIOLAR ADENOMA 1/50 1/50 6/50"	"Clear Evidence"	"Male"	"Topical Application"	"Mice"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Mammary Gland"	"TR-400"	"ADENOCARCINOMA 0/50 0/50 5/50"	"Clear Evidence"	"Female"	"Topical Application"	"Rats"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Mesothelium (Abdominal Cavity/Tunica Vaginalis)"	"TR-400"	"0/50 1/50 4/50"	"Clear Evidence"	"Male"	"Topical Application"	"Rats"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Nasal Cavity"	"TR-400"	"ADENOMA 0/50 44/50 49/50"	"Clear Evidence"	"Female"	"Topical Application"	"Rats"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Nasal Cavity"	"TR-400"	"ADENOMA 0/50 48/50 48/50"	"Clear Evidence"	"Male"	"Topical Application"	"Rats"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Oral Cavity"	"TR-400"	"SQUAMOUS CELL PAPILLOMA 0/50 27/50 41/50 OR SQUAMOUS CELL CARCINOMA 0/50 15/50 27/50 COMBINED 0/50 39/50 49/50"	"Clear Evidence"	"Female"	"Topical Application"	"Rats"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Oral Cavity"	"TR-400"	"SQUAMOUS CELL PAPILLOMA 0/50 40/50 33/50 OR SQUAMOUS CELL CARCINOMA 0/50 16/50 25/50 COMBINED 0/50 47/50 48/50"	"Clear Evidence"	"Male"	"Topical Application"	"Rats"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Skin"	"TR-400"	"SQUAMOUS CELL PAPILLOMA 0/50 1/50 5/50 OR SQUAMOUS CELL CARCINOMA 0/50 0/50 1/50 COMBINED 0/50 1/50 6/50; SEBACEOUS GLAND ADENOMA 0/50 3/50 2/50"	"Clear Evidence"	"Female"	"Topical Application"	"Mice"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Skin"	"TR-400"	"SQUAMOUS CELL PAPILLOMA 0/50 3/50 9/50 OR SQUAMOUS CELL CARCINOMA 0/50 0/50 2/50 COMBINED 0/50 3/50 11/50; SEBACEOUS GLAND ADENOMA 0/50 1/50 8/50"	"Clear Evidence"	"Male"	"Topical Application"	"Mice"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Skin"	"TR-400"	"SQUAMOUS CELL PAPILLOMA 0/50 0/50 2/50 OR SQUAMOUS CELL CARCINOMA 0/50 0/50 1/50 COMBINED 0/50 0/50 3/50; BASAL CELL NEOPLASMS, SEBACEOUS GLAND ADENOMA OR KERATOACANTHOMA 0/50 3/50 18/50"	"Clear Evidence"	"Female"	"Topical Application"	"Rats"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Skin"	"TR-400"	"SQUAMOUS CELL PAPILLOMA 1/50 3/50 0/50 OR SQUAMOUS CELL CARCINOMA 0/50 5/50 8/50 COMBINED 1/50 8/50 8/50; BASAL CELL NEOPLASMS, SEBACEOUS GLAND ADENOMA, OR KERATOACANTHOMA 0/50 20/50 31/50"	"Clear Evidence"	"Male"	"Topical Application"	"Rats"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Vascular System (Spleen)"	"TR-400"	"HEMANGIOMA 0/50 0/50 3/50 OR HEMANGIOSARCOMA 0/50 0/50 1/50 COMBINED 0/50 0/50 4/50"	"Clear Evidence"	"Male"	"Topical Application"	"Rats"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Zymbal Gland"	"TR-400"	"ADENOMA 0/50 7/50 3/50 OR ADENOCARCINOMA 1/50 2/50 19/50 COMBINED 1/50 9/50 22/50"	"Clear Evidence"	"Female"	"Topical Application"	"Rats"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"96-13-9"	"R: 0,188,375, M: 0,88,177 MG/KG/50 PER GROUP"	"Zymbal Gland"	"TR-400"	"ADENOMA 0/50 1/50 7/50 OR ADENOCARCINOMA 0/50 8/50 29/50 COMBINED 0/50 9/50 35/50"	"Clear Evidence"	"Male"	"Topical Application"	"Rats"	"Papanicolaou Research Institute"	"06/23/1992"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"Neoplastic Lesions"	"C55436"	"2,3-Dibromo-1-propanol"	"10016-R"	"http://ntp.niehs.nih.gov/go/TS-10016-R"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals."
"26471-62-5"	"MR: 0,30,60, FR&FM: 0,60,120, MM: 0,120,240, MG/KG/50 PER GROUP"	""	"TR-251"	""	"Negative"	"Male"	"Gavage"	"Mice"	"Litton Bionetics, Inc."	"09/22/1982"	"Toxicology and Carcinogenesis Studies of Commercial Grade 2,4 (80)- and 2,6 (20)- Toluene Diisocyanate (CASRN 26471-62-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	""	"C50533"	"2,4- & 2,6-Toluene diisocyanate"	"10638-W"	"http://ntp.niehs.nih.gov/go/TS-10638-W"	"Manufacture of flexible polyurethane foams and coatings for lacquer and wood finishes"
"26471-62-5"	"MR: 0,30,60, FR&FM: 0,60,120, MM: 0,120,240, MG/KG/50 PER GROUP"	"Liver"	"TR-251"	"ADENOMA 2/50 3/50 12/50"	"Positive"	"Female"	"Gavage"	"Mice"	"Litton Bionetics, Inc."	"09/22/1982"	"Toxicology and Carcinogenesis Studies of Commercial Grade 2,4 (80)- and 2,6 (20)- Toluene Diisocyanate (CASRN 26471-62-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C50533"	"2,4- & 2,6-Toluene diisocyanate"	"10638-W"	"http://ntp.niehs.nih.gov/go/TS-10638-W"	"Manufacture of flexible polyurethane foams and coatings for lacquer and wood finishes"
"26471-62-5"	"MR: 0,30,60, FR&FM: 0,60,120, MM: 0,120,240, MG/KG/50 PER GROUP"	"Liver"	"TR-251"	"NEOPLASTIC NODULE 3/50 8/50 8/48"	"Positive"	"Female"	"Gavage"	"Rats"	"Litton Bionetics, Inc."	"09/22/1982"	"Toxicology and Carcinogenesis Studies of Commercial Grade 2,4 (80)- and 2,6 (20)- Toluene Diisocyanate (CASRN 26471-62-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C50533"	"2,4- & 2,6-Toluene diisocyanate"	"10638-W"	"http://ntp.niehs.nih.gov/go/TS-10638-W"	"Manufacture of flexible polyurethane foams and coatings for lacquer and wood finishes"
"26471-62-5"	"MR: 0,30,60, FR&FM: 0,60,120, MM: 0,120,240, MG/KG/50 PER GROUP"	"Mammary Gland"	"TR-251"	"FIBROADENOMA 15/50 21/50 18/50"	"Positive"	"Female"	"Gavage"	"Rats"	"Litton Bionetics, Inc."	"09/22/1982"	"Toxicology and Carcinogenesis Studies of Commercial Grade 2,4 (80)- and 2,6 (20)- Toluene Diisocyanate (CASRN 26471-62-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C50533"	"2,4- & 2,6-Toluene diisocyanate"	"10638-W"	"http://ntp.niehs.nih.gov/go/TS-10638-W"	"Manufacture of flexible polyurethane foams and coatings for lacquer and wood finishes"
"26471-62-5"	"MR: 0,30,60, FR&FM: 0,60,120, MM: 0,120,240, MG/KG/50 PER GROUP"	"Pancreas Acinar Cell"	"TR-251"	"ADENOMA 1/47 3/47 7/49"	"Positive"	"Male"	"Gavage"	"Rats"	"Litton Bionetics, Inc."	"09/22/1982"	"Toxicology and Carcinogenesis Studies of Commercial Grade 2,4 (80)- and 2,6 (20)- Toluene Diisocyanate (CASRN 26471-62-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C50533"	"2,4- & 2,6-Toluene diisocyanate"	"10638-W"	"http://ntp.niehs.nih.gov/go/TS-10638-W"	"Manufacture of flexible polyurethane foams and coatings for lacquer and wood finishes"
"26471-62-5"	"MR: 0,30,60, FR&FM: 0,60,120, MM: 0,120,240, MG/KG/50 PER GROUP"	"Pancreas Islet Cell"	"TR-251"	"ADENOMA 0/50 6/49 2/47 CARCINOMA 0/50 1/49 0/47 COMBINED 0/50 7/49 2/47"	"Positive"	"Female"	"Gavage"	"Rats"	"Litton Bionetics, Inc."	"09/22/1982"	"Toxicology and Carcinogenesis Studies of Commercial Grade 2,4 (80)- and 2,6 (20)- Toluene Diisocyanate (CASRN 26471-62-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C50533"	"2,4- & 2,6-Toluene diisocyanate"	"10638-W"	"http://ntp.niehs.nih.gov/go/TS-10638-W"	"Manufacture of flexible polyurethane foams and coatings for lacquer and wood finishes"
"26471-62-5"	"MR: 0,30,60, FR&FM: 0,60,120, MM: 0,120,240, MG/KG/50 PER GROUP"	"Subcutaneous Tissue"	"TR-251"	"FIBROMA 0/50 1/50 3/50 OR FIBROSARCOMA 2/50 0/50 2/50 COMBINED 2/50 1/50 5/50"	"Positive"	"Female"	"Gavage"	"Rats"	"Litton Bionetics, Inc."	"09/22/1982"	"Toxicology and Carcinogenesis Studies of Commercial Grade 2,4 (80)- and 2,6 (20)- Toluene Diisocyanate (CASRN 26471-62-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C50533"	"2,4- & 2,6-Toluene diisocyanate"	"10638-W"	"http://ntp.niehs.nih.gov/go/TS-10638-W"	"Manufacture of flexible polyurethane foams and coatings for lacquer and wood finishes"
"26471-62-5"	"MR: 0,30,60, FR&FM: 0,60,120, MM: 0,120,240, MG/KG/50 PER GROUP"	"Subcutaneous Tissue"	"TR-251"	"FIBROMA 3/50 3/50 9/50 OR FIBROSARCOMA 0/50 3/50 3/50 COMBINED 3/50 6/50 12/50"	"Positive"	"Male"	"Gavage"	"Rats"	"Litton Bionetics, Inc."	"09/22/1982"	"Toxicology and Carcinogenesis Studies of Commercial Grade 2,4 (80)- and 2,6 (20)- Toluene Diisocyanate (CASRN 26471-62-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C50533"	"2,4- & 2,6-Toluene diisocyanate"	"10638-W"	"http://ntp.niehs.nih.gov/go/TS-10638-W"	"Manufacture of flexible polyurethane foams and coatings for lacquer and wood finishes"
"26471-62-5"	"MR: 0,30,60, FR&FM: 0,60,120, MM: 0,120,240, MG/KG/50 PER GROUP"	"Vascular System (Unspecified)"	"TR-251"	"HEMANGIOMA 0/50 1/50 2/50 OR HEMANGIOSARCOMA 0/50 0/50 3/50 COMBINED 0/50 1/50 5/50"	"Positive"	"Female"	"Gavage"	"Mice"	"Litton Bionetics, Inc."	"09/22/1982"	"Toxicology and Carcinogenesis Studies of Commercial Grade 2,4 (80)- and 2,6 (20)- Toluene Diisocyanate (CASRN 26471-62-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C50533"	"2,4- & 2,6-Toluene diisocyanate"	"10638-W"	"http://ntp.niehs.nih.gov/go/TS-10638-W"	"Manufacture of flexible polyurethane foams and coatings for lacquer and wood finishes"
"95-80-7"	"MR: 0,79,176 (AVG), FR: 0,79,171 (AVG), M: 0,100,200 PPM/50 PER GROUP"	""	"TR-162"	""	"Negative"	"Male"	"Dosed-Feed"	"Mice"	"Frederick Cancer Research Facility"	"12/13/1978"	"Bioassay of 2,4-Diaminotoluene for Possible Carcinogenicity (CASRN 95-80-7)"	""	"C02302"	"2,4-Diaminotoluene (2,4-toluene diamine)"	"10463-P"	"http://ntp.niehs.nih.gov/go/TS-10463-P"	"Intermediate for polyurethanes and dyes; in hair dyes (formerly)"
"95-80-7"	"MR: 0,79,176 (AVG), FR: 0,79,171 (AVG), M: 0,100,200 PPM/50 PER GROUP"	"Hematopoietic System"	"TR-162"	"(LYMPHOMA)"	"Equivocal Evidence"	"Female"	"Dosed-Feed"	"Mice"	"Frederick Cancer Research Facility"	"12/13/1978"	"Bioassay of 2,4-Diaminotoluene for Possible Carcinogenicity (CASRN 95-80-7)"	"May Have Been Related"	"C02302"	"2,4-Diaminotoluene (2,4-toluene diamine)"	"10463-P"	"http://ntp.niehs.nih.gov/go/TS-10463-P"	"Intermediate for polyurethanes and dyes; in hair dyes (formerly)"
"95-80-7"	"MR: 0,79,176 (AVG), FR: 0,79,171 (AVG), M: 0,100,200 PPM/50 PER GROUP"	"Liver"	"TR-162"	"(CARCINOMA)"	"Positive"	"Female"	"Dosed-Feed"	"Mice"	"Frederick Cancer Research Facility"	"12/13/1978"	"Bioassay of 2,4-Diaminotoluene for Possible Carcinogenicity (CASRN 95-80-7)"	"Neoplastic Lesions"	"C02302"	"2,4-Diaminotoluene (2,4-toluene diamine)"	"10463-P"	"http://ntp.niehs.nih.gov/go/TS-10463-P"	"Intermediate for polyurethanes and dyes; in hair dyes (formerly)"
"95-80-7"	"MR: 0,79,176 (AVG), FR: 0,79,171 (AVG), M: 0,100,200 PPM/50 PER GROUP"	"Liver"	"TR-162"	"(NEOPLASTIC NODULE, CARCINOMA)"	"Positive"	"Female"	"Dosed-Feed"	"Rats"	"Frederick Cancer Research Facility"	"12/13/1978"	"Bioassay of 2,4-Diaminotoluene for Possible Carcinogenicity (CASRN 95-80-7)"	"Neoplastic Lesions"	"C02302"	"2,4-Diaminotoluene (2,4-toluene diamine)"	"10463-P"	"http://ntp.niehs.nih.gov/go/TS-10463-P"	"Intermediate for polyurethanes and dyes; in hair dyes (formerly)"
"95-80-7"	"MR: 0,79,176 (AVG), FR: 0,79,171 (AVG), M: 0,100,200 PPM/50 PER GROUP"	"Liver"	"TR-162"	"(NEOPLASTIC NODULE, CARCINOMA)"	"Positive"	"Male"	"Dosed-Feed"	"Rats"	"Frederick Cancer Research Facility"	"12/13/1978"	"Bioassay of 2,4-Diaminotoluene for Possible Carcinogenicity (CASRN 95-80-7)"	"Neoplastic Lesions"	"C02302"	"2,4-Diaminotoluene (2,4-toluene diamine)"	"10463-P"	"http://ntp.niehs.nih.gov/go/TS-10463-P"	"Intermediate for polyurethanes and dyes; in hair dyes (formerly)"
"95-80-7"	"MR: 0,79,176 (AVG), FR: 0,79,171 (AVG), M: 0,100,200 PPM/50 PER GROUP"	"Mammary Gland"	"TR-162"	"(ADENOMA, CARCINOMA)"	"Positive"	"Female"	"Dosed-Feed"	"Rats"	"Frederick Cancer Research Facility"	"12/13/1978"	"Bioassay of 2,4-Diaminotoluene for Possible Carcinogenicity (CASRN 95-80-7)"	"Neoplastic Lesions"	"C02302"	"2,4-Diaminotoluene (2,4-toluene diamine)"	"10463-P"	"http://ntp.niehs.nih.gov/go/TS-10463-P"	"Intermediate for polyurethanes and dyes; in hair dyes (formerly)"
"121-14-2"	"R: 0,.008,.02 (AVG), M: 0,.008,.04 (AVG) %/50 PER GROUP"	""	"TR-054"	""	"Negative"	"Female"	"Dosed-Feed"	"Mice"	"T.S.I. Mason Laboratories, Inc."	"01/18/1978"	"Bioassay of 2,4-Dinitrotoluene for Possible Carcinogenicity (CASRN 121-14-2)"	""	"C01865"	"2,4-Dinitrotoluene"	"10558-G"	"http://ntp.niehs.nih.gov/go/TS-10558-G"	"Dye intermediate; explosives"
"121-14-2"	"R: 0,.008,.02 (AVG), M: 0,.008,.04 (AVG) %/50 PER GROUP"	""	"TR-054"	""	"Negative"	"Male"	"Dosed-Feed"	"Mice"	"T.S.I. Mason Laboratories, Inc."	"01/18/1978"	"Bioassay of 2,4-Dinitrotoluene for Possible Carcinogenicity (CASRN 121-14-2)"	""	"C01865"	"2,4-Dinitrotoluene"	"10558-G"	"http://ntp.niehs.nih.gov/go/TS-10558-G"	"Dye intermediate; explosives"
"121-14-2"	"R: 0,.008,.02 (AVG), M: 0,.008,.04 (AVG) %/50 PER GROUP"	"Mammary Gland"	"TR-054"	"(FIBROADENOMA)"	"Positive"	"Female"	"Dosed-Feed"	"Rats"	"T.S.I. Mason Laboratories, Inc."	"01/18/1978"	"Bioassay of 2,4-Dinitrotoluene for Possible Carcinogenicity (CASRN 121-14-2)"	"Neoplastic Lesions"	"C01865"	"2,4-Dinitrotoluene"	"10558-G"	"http://ntp.niehs.nih.gov/go/TS-10558-G"	"Dye intermediate; explosives"
"121-14-2"	"R: 0,.008,.02 (AVG), M: 0,.008,.04 (AVG) %/50 PER GROUP"	"Skin"	"TR-054"	"(FIBROMA)"	"Positive"	"Male"	"Dosed-Feed"	"Rats"	"T.S.I. Mason Laboratories, Inc."	"01/18/1978"	"Bioassay of 2,4-Dinitrotoluene for Possible Carcinogenicity (CASRN 121-14-2)"	"Neoplastic Lesions"	"C01865"	"2,4-Dinitrotoluene"	"10558-G"	"http://ntp.niehs.nih.gov/go/TS-10558-G"	"Dye intermediate; explosives"
"20325-40-0"	"R: 0,80,170,330 PPM /70,45,75,70 PER GROUP RESPECTIVELY"	"Brain"	"TR-372"	"ASTROCYTOMA 0/60 2/44 3/75 1/60"	"Equivocal Evidence"	"Male"	"Dosed-Water"	"Rats"	"Hazleton, Vienna"	"06/27/1989"	"Toxicology and Carcinogenesis Studies of 3,3'-Dimethoxybenzidine Dihydrochloride (CASRN 20325-40-0) in F344/N Rats (Drinking Water Studies)"	"May Have Been Related"	"C99989"	"3,3'-Dimethoxybenzidine dihydrochloride"	"10776-A"	"http://ntp.niehs.nih.gov/go/TS-10776-A"	"Production of dyes"
"20325-40-0"	"R: 0,80,170,330 PPM /70,45,75,70 PER GROUP RESPECTIVELY"	"Clitoral Gland"	"TR-372"	"ADENOMA 5/58 15/44 13/74 16/55; CARCINOMA 2/58 17/44 41/74 30/55"	"Clear Evidence"	"Female"	"Dosed-Water"	"Rats"	"Hazleton, Vienna"	"06/27/1989"	"Toxicology and Carcinogenesis Studies of 3,3'-Dimethoxybenzidine Dihydrochloride (CASRN 20325-40-0) in F344/N Rats (Drinking Water Studies)"	"Neoplastic Lesions"	"C99989"	"3,3'-Dimethoxybenzidine dihydrochloride"	"10776-A"	"http://ntp.niehs.nih.gov/go/TS-10776-A"	"Production of dyes"
"20325-40-0"	"R: 0,80,170,330 PPM /70,45,75,70 PER GROUP RESPECTIVELY"	"Intestines (Large)"	"TR-372"	"ADENOMATOUS POLYP 0/60 0/45 1/75 2/60 OR ADENOCARCINOMA 0/60 1/45 0/75 1/60 COMBINED 0/60 1/45 1/75 3/60"	"Clear Evidence"	"Female"	"Dosed-Water"	"Rats"	"Hazleton, Vienna"	"06/27/1989"	"Toxicology and Carcinogenesis Studies of 3,3'-Dimethoxybenzidine Dihydrochloride (CASRN 20325-40-0) in F344/N Rats (Drinking Water Studies)"	"Neoplastic Lesions"	"C99989"	"3,3'-Dimethoxybenzidine dihydrochloride"	"10776-A"	"http://ntp.niehs.nih.gov/go/TS-10776-A"	"Production of dyes"
"20325-40-0"	"R: 0,80,170,330 PPM /70,45,75,70 PER GROUP RESPECTIVELY"	"Intestines (Large)"	"TR-372"	"ADENOMATOUS POLYP 0/60 1/45 4/75 5/60 OR ADENOCARCINOMA 0/60 4/45 11/75 8/60 COMBINED 0/60 4/45 14/75 13/60"	"Clear Evidence"	"Male"	"Dosed-Water"	"Rats"	"Hazleton, Vienna"	"06/27/1989"	"Toxicology and Carcinogenesis Studies of 3,3'-Dimethoxybenzidine Dihydrochloride (CASRN 20325-40-0) in F344/N Rats (Drinking Water Studies)"	"Neoplastic Lesions"	"C99989"	"3,3'-Dimethoxybenzidine dihydrochloride"	"10776-A"	"http://ntp.niehs.nih.gov/go/TS-10776-A"	"Production of dyes"
"20325-40-0"	"R: 0,80,170,330 PPM /70,45,75,70 PER GROUP RESPECTIVELY"	"Liver"	"TR-372"	"NEOPLASTIC NODULE 0/60 1/44 0/75 2/60 OR CARCINOMA 0/60 0/44 0/75 1/60 COMBINED 0/60 1/44 0/75 3/60"	"Clear Evidence"	"Female"	"Dosed-Water"	"Rats"	"Hazleton, Vienna"	"06/27/1989"	"Toxicology and Carcinogenesis Studies of 3,3'-Dimethoxybenzidine Dihydrochloride (CASRN 20325-40-0) in F344/N Rats (Drinking Water Studies)"	"Neoplastic Lesions"	"C99989"	"3,3'-Dimethoxybenzidine dihydrochloride"	"10776-A"	"http://ntp.niehs.nih.gov/go/TS-10776-A"	"Production of dyes"
"20325-40-0"	"R: 0,80,170,330 PPM /70,45,75,70 PER GROUP RESPECTIVELY"	"Liver"	"TR-372"	"NEOPLASTIC NODULE 0/60 3/45 7/74 6/60; NEOPLASTIC NODULE OR CARCINOMA 1/60 1/45 0/74 2/60 COMBINED 1/60 4/45 7/74 8/60"	"Clear Evidence"	"Male"	"Dosed-Water"	"Rats"	"Hazleton, Vienna"	"06/27/1989"	"Toxicology and Carcinogenesis Studies of 3,3'-Dimethoxybenzidine Dihydrochloride (CASRN 20325-40-0) in F344/N Rats (Drinking Water Studies)"	"Neoplastic Lesions"	"C99989"	"3,3'-Dimethoxybenzidine dihydrochloride"	"10776-A"	"http://ntp.niehs.nih.gov/go/TS-10776-A"	"Production of dyes"
"20325-40-0"	"R: 0,80,170,330 PPM /70,45,75,70 PER GROUP RESPECTIVELY"	"Mammary Gland"	"TR-372"	"ADENOCARCINOMA 1/60 2/45 14/75 20/60"	"Clear Evidence"	"Female"	"Dosed-Water"	"Rats"	"Hazleton, Vienna"	"06/27/1989"	"Toxicology and Carcinogenesis Studies of 3,3'-Dimethoxybenzidine Dihydrochloride (CASRN 20325-40-0) in F344/N Rats (Drinking Water Studies)"	"Neoplastic Lesions"	"C99989"	"3,3'-Dimethoxybenzidine dihydrochloride"	"10776-A"	"http://ntp.niehs.nih.gov/go/TS-10776-A"	"Production of dyes"
