"Publication No."	"Publication Title"	"CASRN"	"Test Article Name"	"Test Article No."	"Testing Status URL"	"Study No."	"Species"	"Strain"	"Sex"	"Route"	"Exposure"	"Organ"	"Level of Evidence"	"Organ Site Call"	"Tumor Type/Incidence"	"Finding Type"	"Lab"	"Peer Review Date"	"Description"
"TR-384"	"Toxicology and Carcinogenesis Studies of 1,2,3-Trichloropropane (CASRN 96-18-4) in F344 Rats and B6C3F1 Mice (Feed Studies)"	"96-18-4"	"1,2,3-Trichloropropane"	"10186-C"	"https://ntp.niehs.nih.gov/go/ts-10186-c"	"C60220B"	"Rats"	"F344/N"	"Female"	"Gavage"	"R: 0, 3, 10, 30, M: 0, 6, 20, 60 MG/KG"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"ADENOCARCINOMA 1/50 6/49 12/52 21/52"	"Neoplastic Lesions"	"T.S.I. Mason Laboratories, Inc."	"07/09/1991"	"Paint and varnish remover. Solvent. Degreasing agent. Intermediate for polysulfide liquid polymers. "
"TR-372"	"Toxicology and Carcinogenesis Studies of 3,3'-Dimethoxybenzidine Dihydrochloride (CASRN 20325-40-0) in F344/N Rats (Drinking Water Studies)"	"20325-40-0"	"3,3'-Dimethoxybenzidine dihydrochloride"	"10776-A"	"https://ntp.niehs.nih.gov/go/ts-10776-a"	"C99989"	"Rats"	"F344/N"	"Female"	"Dosed-Water"	"R: 0, 80, 170, 330 PPM /70, 45, 75, 70 PER GROUP RESPECTIVELY"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"ADENOCARCINOMA 1/60 2/45 14/75 20/60"	"Neoplastic Lesions"	"Hazleton, Vienna"	"06/27/1989"	"Production of dyes"
"TR-356"	"Toxicology and Carcinogenesis Studies of Furosemide (CASRN 54-31-9) in F344/N Rats and B6C3F1 Mice (Feed Studies)"	"54-31-9"	"Furosemide"	"10068-N"	"https://ntp.niehs.nih.gov/go/ts-10068-n"	"C55936"	"Mice"	"B6C3F1"	"Female"	"Dosed-Feed"	"R: 0, 350, 700, M: 0, 700, 1400 PPM/50 PER GROUP"	"Mammary Gland"	"Some Evidence"	"Some Evidence"	"ADENOCARCINOMA 0/50 2/50 5/48"	"Neoplastic Lesions"	"SRI International"	"04/18/1988"	"Diuretic in the treatment of edema and hypertension. Diuretic in veterinary medicine. "
"TR-374"	"Toxicology and Carcinogenesis Studies of Glycidol (CASRN 556-52-5) In F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"556-52-5"	"Glycidol"	"10630-P"	"https://ntp.niehs.nih.gov/go/ts-10630-p"	"C55549"	"Rats"	"F344/N"	"Male"	"Gavage"	"R: 0, 38, 75, M: 0, 25, 50 MG/KG/50 PER GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"FIBROADENOMA 3/50 8/50 7/50"	"Neoplastic Lesions"	"Papanicolaou Research Institute"	"06/27/1989"	"Viscous liquid that is used as a stabilizer in the manufacture of vinyl polymers, as an additive for oil and synthetic hydraulic fluids, and as a diluent in some epoxy resins.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-326"	"Toxicology and Carcinogenesis Studies of Ethylene Oxide (CASRN 75-21-8) in B6C3F1 Mice (Inhalation Studies)"	"75-21-8"	"Ethylene oxide"	"10020-A"	"https://ntp.niehs.nih.gov/go/ts-10020-a"	"C50088"	"Mice"	"B6C3F1"	"Female"	"Inhalation"	"0, 50, 100 PPM/50 PER GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"ADENOCARCINOMA 1/49 6/48 4/49; ADENOSQUAMOUS CARCINOMA 0/49 2/48 2/49"	"Neoplastic Lesions"	"Battelle Northwest Laboratory"	"08/19/1986"	"Accelerates ripening in fruit and maturing of tobacco leaves. Fungistat. Rocket propellant. Fumigant for foodstuffs and textiles. Organic synthesis. Sterilize surgical instruments. Chemical intermediate.   Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-374"	"Toxicology and Carcinogenesis Studies of Glycidol (CASRN 556-52-5) In F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"556-52-5"	"Glycidol"	"10630-P"	"https://ntp.niehs.nih.gov/go/ts-10630-p"	"C55549"	"Mice"	"B6C3F1"	"Female"	"Gavage"	"R: 0, 38, 75, M: 0, 25, 50 MG/KG/50 PER GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"ADENOMA 0/50 1/50 0/50, FIBROADENOMA 1/50 0/50 0/50, OR ADENOCARCINOMA 1/50 5/50 15/50 COMBINED 2/50 6/50 15/50"	"Neoplastic Lesions"	"Papanicolaou Research Institute"	"06/27/1989"	"Viscous liquid that is used as a stabilizer in the manufacture of vinyl polymers, as an additive for oil and synthetic hydraulic fluids, and as a diluent in some epoxy resins.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-461"	"Toxicology and Carcinogenesis Studies of Nitromethane (CASRN 75-52-5) in F344 Rats and B6C3F1 Mice (Inhalation Studies)"	"75-52-5"	"Nitromethane"	"10851-V"	"https://ntp.niehs.nih.gov/go/ts-10851-v"	"C61927"	"Rats"	"F344/N"	"Female"	"Inhalation"	"R: 0, 94, 188, OR 375 PPM; 50/GROUP  M: 0, 188, 375, OR 750 PPM; 50/GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"FIBROADENOMA 19/50 21/50 33/50 36/50 OR CARCINOMA 2/50 7/50 1/50 11/50 COMBINED 9/50 25/50 34/50 39/50"	"Neoplastic Lesions"	"Battelle Northwest Laboratory"	"12/05/1995"	"Fuel additive and propellant; synthesis intermediate for agricultural fumigants,  intermediate for nitro and amino alcohols, biocides, and other products; cellulosic compound solvent; explosive in mining, oil-well drilling, and seismic exploration. Detected in air, surface and drinking water, and in cigarette smoke. Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-452"	"Toxicology and Carcinogenesis Studies of 2,2-Bis(Bromomethyl)-1,3-Propanediol in F344/N Rats and B6C3F1 Mice (Feed Studies)"	"3296-90-0"	"2,2-bis(Bromomethyl)-1,3-propanediol"	"10722-V"	"https://ntp.niehs.nih.gov/go/ts-10722-v"	"C55516C"	"Rats"	"F344/N"	"Female"	"Dosed-Feed"	"R: 0, 2500, 5000, OR 10000 PPM; STOP STUDY: MALES 20000 PPM; 70/GROUP M: 0, 312, 625, OR 1250 PPM; 60/GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"FIBROADENOMA 25/50 45/51 46/53 45/52"	"Neoplastic Lesions"	"Southern Research Institute"	"11/29/1994"	"Flame retardant for epoxy, polyester, and urethane foams. Chemical intermediate."
"TR-499"	"Toxicology and Carcinogenesis Studies of Indium Phosphide (CASRN 22398-80-7) in F344/N Rats and B6C3F1 Mice (Inhalation Studies)"	"22398-80-7"	"Indium phosphide"	"M882472"	"https://ntp.niehs.nih.gov/go/ts-m882472"	"C88124"	"Rats"	"F344/N"	"Female"	"Inhalation"	"R&M: 0, 0.03, 0.1, OR 0.3 MG/M3"	"Mammary Gland"	"Clear Evidence"	"Equivocal Evidence"	"CARCINOMA 0/50 8/50 3/50 2/50"	"May Have Been Related"	"Battelle Northwest Laboratory"	"05/18/2000"	"Used in electronics industry; in semiconductor devices, injector lasers, and solar cells.  Proposed to replace silicon in computer microchips."
"TR-467"	"Toxicology and Carcinogenesis Studies of Chloroprene in F344/N Rats and B6C3F1 Mice (Inhalation Studies)"	"126-99-8"	"Chloroprene"	"10573-D"	"https://ntp.niehs.nih.gov/go/ts-10573-d"	"C50522B"	"Rats"	"F344/N"	"Female"	"Inhalation"	"R&M: 0, 12.8, 32.0, or 80.0 ppm; 50/sex/species/group"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"FIBROADENOMA 24/49 32/50 36/50 36/50"	"Neoplastic Lesions"	"Battelle Northwest Laboratory"	"12/11/1996"	"Monomer for neoprene elastomers. Industrial rubber products. Component of adhesives in food packaging. "
"TR-467"	"Toxicology and Carcinogenesis Studies of Chloroprene in F344/N Rats and B6C3F1 Mice (Inhalation Studies)"	"126-99-8"	"Chloroprene"	"10573-D"	"https://ntp.niehs.nih.gov/go/ts-10573-d"	"C50522B"	"Mice"	"B6C3F1"	"Female"	"Inhalation"	"R&M: 0, 12.8, 32.0, or 80.0 ppm; 50/sex/species/group"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"CARCINOMA 3/50 4/50 7/50 12/50"	"Neoplastic Lesions"	"Battelle Northwest Laboratory"	"12/11/1996"	"Monomer for neoprene elastomers. Industrial rubber products. Component of adhesives in food packaging. "
"TR-504"	"Toxicology and Carcinogenesis Studies of o-Nitrotoluene (CASRN 88-72-2) in F344/N Rats and B6C3F1 Mice (Feed Studies)"	"88-72-2"	"o-Nitrotoluene"	"10946-L"	"https://ntp.niehs.nih.gov/go/ts-10946-l"	"C62340D"	"Rats"	"F344/N"	"Female"	"Dosed-Feed"	"MR: 0, 625, 1250, 2000, OR 5000 PPM  FR: 0, 625, 1250, OR 2000 PPM  M: 0, 1250, 2500, OR 5000 PPM; 60/SEX/DOSE"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"FIBROADENOMA 23/60 47/60 52/60 56/60"	"Neoplastic Lesions"	"Southern Research Institute"	"05/03/2001"	"Intermediate for toluidines, organic synthesis of pesticides, pharmaceuticals, manufacture of dyes, rubber chemicals.    Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-452"	"Toxicology and Carcinogenesis Studies of 2,2-Bis(Bromomethyl)-1,3-Propanediol in F344/N Rats and B6C3F1 Mice (Feed Studies)"	"3296-90-0"	"2,2-bis(Bromomethyl)-1,3-propanediol"	"10722-V"	"https://ntp.niehs.nih.gov/go/ts-10722-v"	"C55516C"	"Rats"	"F344/N"	"Male"	"Dosed-Feed"	"R: 0, 2500, 5000, OR 10000 PPM; STOP STUDY: MALES 20000 PPM; 70/GROUP M: 0, 312, 625, OR 1250 PPM; 60/GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"FIBROADENOMA 0/51 4/53 6/51 6/55 5/60 OR ADENOMA 0/51 0/53 1/51 1/55 0/60 COMBINED 0/51 4/53 7/51 7/55 5/60"	"Neoplastic Lesions"	"Southern Research Institute"	"11/29/1994"	"Flame retardant for epoxy, polyester, and urethane foams. Chemical intermediate."
"TR-491"	"Toxicology and Carcinogenesis Studies of Methyleugenol (CASRN 93-15-2) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"93-15-2"	"Methyleugenol"	"10265-L"	"https://ntp.niehs.nih.gov/go/ts-10265-l"	"C60991B"	"Rats"	"F344/N"	"Male"	"Gavage"	"R&M:  0, 37, 75, OR 150 MG/KG; 50/SEX/SPECIES/GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"FIBROADENOMA 5/50 5/50 15/50 13/50 6/50"	"Neoplastic Lesions"	"Battelle Columbus Laboratory"	"10/30/1998"	"Flavoring agent in foods and beverages; as a fragrance in cosmetics; as an insect attractant in eradication programs and as an anesthetic in rodents.    Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-510"	"Toxicology and Carcinogenesis Studies of Urethane + Ethanol (CASRNs 51-79-6 & 64-17-5) in F344/N Rats and B6C3F1 Mice (Drinking Water Studies)"	"51-79-6"	"Urethane"	"10359-A"	"https://ntp.niehs.nih.gov/go/ts-10359-a"	"C00602D"	"Mice"	"MV"	"Female"	"Dosed-Water"	"0, 10, 30, OR 90 PPM"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"ADENOACANTHOMA 0/47 1/46 1/46 11/48 ADENOCARCINOMA 4/47 3/46 3/46 11/48 COMBINED 4/47 4/46 4/46 22/48"	"Neoplastic Lesions"	"National Center for Toxicological Research"	"09/05/2002"	"Chemical intermediate; solubilizer for cosmetics and pesticides; byproduct of fermentation in foods and beverages.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-527"	"Toxicology and Carcinogenesis Studies of Malachite Green Chloride and Leucomalachite Green (CASRNs 569-64-2 and 129-73-7) in F344/N Rats and B6C3F1 Mice (Feed Studies)"	"569-64-2"	"Malachite green"	"M930019"	"https://ntp.niehs.nih.gov/go/ts-m930019"	"C93005"	"Rats"	"F344/N"	"Female"	"Dosed-Feed"	"R: 0, 100, 300, OR 600 PPM   M: 0, 100, 225, OR 450 PPM"	"Mammary Gland"	"Equivocal Evidence"	"Equivocal Evidence"	"CARCINOMA 2/48 2/48 1/48 5/48"	"Neoplastic Lesions"	"National Center for Toxicological Research"	"02/17/2004"	"Antibacterial and antifungal agent, as a dye for cloth & leather, as an histological stain, as an intestinal antihelmintic, as a wound disinfectant. Considered the most effective agent for combatting fungal infections in aquatic species."
"TR-452"	"Toxicology and Carcinogenesis Studies of 2,2-Bis(Bromomethyl)-1,3-Propanediol in F344/N Rats and B6C3F1 Mice (Feed Studies)"	"3296-90-0"	"2,2-bis(Bromomethyl)-1,3-propanediol"	"10722-V"	"https://ntp.niehs.nih.gov/go/ts-10722-v"	"C55516C"	"Mice"	"B6C3F1"	"Female"	"Dosed-Feed"	"R: 0, 2500, 5000, OR 10000 PPM; STOP STUDY: MALES 20000 PPM; 70/GROUP M: 0, 312, 625, OR 1250 PPM; 60/GROUP"	"Mammary Gland"	"Clear Evidence"	"Equivocal Evidence"	"CARCINOMA 0/52 0/50 1/51 2/50"	"May Have Been Related"	"Southern Research Institute"	"11/29/1994"	"Flame retardant for epoxy, polyester, and urethane foams. Chemical intermediate."
"TR-486"	"Toxicology and Carcinogenesis Studies of Isoprene in F344/N Rats (Inhalation Studies)"	"78-79-5"	"Isoprene"	"M200028"	"https://ntp.niehs.nih.gov/go/ts-m200028"	"C61825B"	"Rats"	"F344/N"	"Female"	"Inhalation"	"R: 0, 220, 700, OR 7000 PPM; 50/SEX/GROUP"	"Mammary Gland"	"Some Evidence"	"Some Evidence"	"FIBROADENOMA 19/50 35/50 32/50 32/50 MULTIPLE FIBROADENOMA 7/50 12/50 19/50 17/50"	"Neoplastic Lesions"	"Battelle Northwest Laboratory"	"12/10/1997"	"Monomer and comonomer for elastomers, prepared from turpentine, petroleum products (Merck 1989).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-486"	"Toxicology and Carcinogenesis Studies of Isoprene in F344/N Rats (Inhalation Studies)"	"78-79-5"	"Isoprene"	"M200028"	"https://ntp.niehs.nih.gov/go/ts-m200028"	"C61825B"	"Rats"	"F344/N"	"Male"	"Inhalation"	"R: 0, 220, 700, OR 7000 PPM; 50/SEX/GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"FIBROADENOMA 2/50 4/50 6/50 21/50 FIBROADENOMA OR CARCINOMA COMBINED 2/50 5/50 7/50 21/50"	"Neoplastic Lesions"	"Battelle Northwest Laboratory"	"12/10/1997"	"Monomer and comonomer for elastomers, prepared from turpentine, petroleum products (Merck 1989).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-504"	"Toxicology and Carcinogenesis Studies of o-Nitrotoluene (CASRN 88-72-2) in F344/N Rats and B6C3F1 Mice (Feed Studies)"	"88-72-2"	"o-Nitrotoluene"	"10946-L"	"https://ntp.niehs.nih.gov/go/ts-10946-l"	"C62340D"	"Rats"	"F344/N"	"Male"	"Dosed-Feed"	"MR: 0, 625, 1250, 2000, OR 5000 PPM  FR: 0, 625, 1250, OR 2000 PPM  M: 0, 1250, 2500, OR 5000 PPM; 60/SEX/DOSE"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"FIBROADENOMA 0/60 7/60 10/60 2/60 13/60 20/60"	"Neoplastic Lesions"	"Southern Research Institute"	"05/03/2001"	"Intermediate for toluidines, organic synthesis of pesticides, pharmaceuticals, manufacture of dyes, rubber chemicals.    Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-510"	"Toxicology and Carcinogenesis Studies of Urethane + Ethanol (CASRNs 51-79-6 & 64-17-5) in F344/N Rats and B6C3F1 Mice (Drinking Water Studies)"	"URETHCOMB"	"Urethane + ethanol (combination)"	"M920016"	"https://ntp.niehs.nih.gov/go/ts-m920016"	"C00602F"	"Mice"	"MV"	"Female"	"Dosed-Water"	"0, 10, 30, OR 90 PPM"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"(URETHANE AND 2.5% ETHANOL) ADENOACANTHOMA 0/47 0/45 2/48 3/47 ADENOCARCINOMA 4/47 3/45 11/48 14/47 COMBINED 4/47 3/45 12/48 16/47"	"Neoplastic Lesions"	"National Center for Toxicological Research"	"09/05/2002"	"(Urethane) chemical intermediate; solubilizer for cosmetics and pesticides; (ethanol) solvent; in alcoholic beverages and manufacture of denatured alcohols; in gasohol; anti-freeze agent; chemical intermediate; in synthetic rubber, pharmaceuticals, disinfectants.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-510"	"Toxicology and Carcinogenesis Studies of Urethane + Ethanol (CASRNs 51-79-6 & 64-17-5) in F344/N Rats and B6C3F1 Mice (Drinking Water Studies)"	"URETHCOMB"	"Urethane + ethanol (combination)"	"M920016"	"https://ntp.niehs.nih.gov/go/ts-m920016"	"C00602F"	"Mice"	"MV"	"Female"	"Dosed-Water"	"0, 10, 30, OR 90 PPM"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"(URETHANE AND 5% ETHANOL) ADENOACANTHOMA 0/47 0/48 1/48 9/45 ADENOCARCINOMA 3/47 4/48 6/48 15/45 COMBINED 3/47 4/48 7/48 23/45"	"Neoplastic Lesions"	"National Center for Toxicological Research"	"09/05/2002"	"(Urethane) chemical intermediate; solubilizer for cosmetics and pesticides; (ethanol) solvent; in alcoholic beverages and manufacture of denatured alcohols; in gasohol; anti-freeze agent; chemical intermediate; in synthetic rubber, pharmaceuticals, disinfectants.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-548"	"Toxicology and Carcinogenesis Studies of Ethinyl Estradiol (CASRN 57-63-6) in Sprague-Dawley Rats (Feed Studies)"	"57-63-6"	"Endocrine disruptor (Ethinyl estradiol)"	"M980043"	"https://ntp.niehs.nih.gov/go/ts-m980043"	"C20721C"	"Rats"	"Harlan Sprague-Dawley"	"Male"	"Dosed-Feed"	"0, 2, 10, or 50 ppb"	"Mammary Gland"	"Equivocal Evidence"	"Equivocal Evidence"	"adenoma or adenocarcinoma (0/42, 0/42, 0/40, 3/45)"	"May Have Been Related"	"National Center for Toxicological Research"	"05/16/2007"	"Nonsteroidal semi-synthetic estrogen used in the treatment of breast & prostate cancer.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-588"	"Toxicology and Carcinogenesis Studies of Glycidamide in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"5694-00-8"	"Glycidamide"	"M930003"	"https://ntp.niehs.nih.gov/go/ts-m930003"	"C20314"	"Rats"	"F344 (NCTR)"	"Female"	"Dosed-Water"	"R&M: 0, 0.0875, 0.175, 0.35, or 0.70 mM"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"fibroadenoma 16/48 26/48 35/48 33/48 36/48"	"Neoplastic Lesions"	"National Center for Toxicological Research"	"10/29/2013"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-575"	"Toxicology and Carcinogenesis Studies of Acrylamide in F344/N Rats and B6C3F1 Mice (Feed and Drinking Water Studies)"	"79-06-1"	"Acrylamide"	"10949-Y"	"https://ntp.niehs.nih.gov/go/ts-10949-y"	"C20313"	"Rats"	"F344 (NCTR)"	"Female"	"Dosed-Water"	"R&M: 0, 0.0875, 0.175, 0.35, or 0.70 mM"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"fibroadenoma 16/48 18/48 24/46 22/47 31/48"	"Neoplastic Lesions"	"National Center for Toxicological Research"	"04/05/2011"	"Polyacrylamides and dye intermediate Flocculants. Waste and water treatment. Paper and pulp industry (NLM/Dialog 1991). Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-575"	"Toxicology and Carcinogenesis Studies of Acrylamide in F344/N Rats and B6C3F1 Mice (Feed and Drinking Water Studies)"	"79-06-1"	"Acrylamide"	"10949-Y"	"https://ntp.niehs.nih.gov/go/ts-10949-y"	"C20313"	"Mice"	"MV"	"Female"	"Dosed-Water"	"R&M: 0, 0.0875, 0.175, 0.35, or 0.70 mM"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"adenoacanthoma 0/47 1/46 1/48 2/45 4/42 adenocarcinoma 0/47 4/46 6/48 2/45 13/42 adenoacanthoma or adenocarcinoma 0/47 4/46 7/48 4/45 17/42"	"Neoplastic Lesions"	"National Center for Toxicological Research"	"04/05/2011"	"Polyacrylamides and dye intermediate Flocculants. Waste and water treatment. Paper and pulp industry (NLM/Dialog 1991). Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-588"	"Toxicology and Carcinogenesis Studies of Glycidamide in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"5694-00-8"	"Glycidamide"	"M930003"	"https://ntp.niehs.nih.gov/go/ts-m930003"	"C20314"	"Mice"	"MV"	"Female"	"Dosed-Water"	"R&M: 0, 0.0875, 0.175, 0.35, or 0.70 mM"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"adenoacanthoma 0/45 0/48 0/47 1/47 8/45 adenocarcinoma 1/45 1/48 2/47 9/47 11/45 adenoacanthoma or adenocarcinoma 1/45 1/48 2/47 9/47 18/45"	"Neoplastic Lesions"	"National Center for Toxicological Research"	"10/29/2013"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-583"	"Toxicology Studies of Bromodichloroacetic Acid in F344/N Rats and B6C3F1/N Mice and Toxicology and Carcinogenesis Studies of Bromodichloroacetic Acid in F344/NTac Rats and B6C3F1/N Mice (Drinking Water Studies)"	"71133-14-7"	"Water disinfection byproducts (Bromodichloroacetic Acid)"	"M920032"	"https://ntp.niehs.nih.gov/go/ts-m920032"	"C96014B"	"Rats"	"F344/NTac"	"Female"	"Dosed-Water"	"R&M: 0, 250, 500, or 1000 mg/L; 50/sex/species/dose"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"fibroadenoma 28/50 47/50 47/50 39/50 carcinoma 0/50 1/50 3/50 8/50 fibroadenoma, adenoma, or carcinoma 28/50 47/50 48/50 42/50"	"Neoplastic Lesions"	"Battelle Columbus Laboratory"	"05/22/2014"	"Bromodichloroacetic acid is a water disinfectant byproduct. Naturally occurring bromides in the water participate in the formation of this compound. This chemical is formed after disinfection of water with halogenated oxidants, usually chlorine."
"TR-545"	"Toxicology and Carcinogenesis Study of Genistein (CASRN 446-72-0) in Sprague-Dawley Rats (Feed Study)"	"446-72-0"	"Endocrine disruptor (Genistein)"	"M960022"	"https://ntp.niehs.nih.gov/go/ts-m960022"	"C99040"	"Rats"	"Sprague Dawley"	"Female"	"Dosed-Feed"	"0, 5, 100, or 500 ppm"	"Mammary Gland"	"Some Evidence"	"Equivocal Evidence"	"ADENOMA OR ADENOCARCINOMA 7/53 8/49 11/50 13/50"	"May Have Been Related"	"National Center for Toxicological Research"	"06/12/2006"	"Antineoplastic agent; growth inhibitor; naturally-occurring phytoestrogen found in several plants including soy products. Nutritional and pharmaceutical applications."
"TR-545"	"Toxicology and Carcinogenesis Study of Genistein (CASRN 446-72-0) in Sprague-Dawley Rats (Feed Study)"	"446-72-0"	"Endocrine disruptor (Genistein)"	"M960022"	"https://ntp.niehs.nih.gov/go/ts-m960022"	"C99040"	"Rats"	"Sprague Dawley"	"Female"	"Dosed-Feed"	"0, 5, 100, or 500 ppm"	"Mammary Gland"	"Some Evidence"	"Some Evidence"	"ADENOMA OR ADENOCARCINOMA 9/54 4/50 8/50 16/49"	"Neoplastic Lesions"	"National Center for Toxicological Research"	"06/12/2006"	"Antineoplastic agent; growth inhibitor; naturally-occurring phytoestrogen found in several plants including soy products. Nutritional and pharmaceutical applications."
"TR-549"	"Toxicology and Carcinogenesis Studies of Bromochloroacetic acid (CASRN 5589-96-8) in F344/N Rats and B6C3F1 Mice (Drinking water studies)"	"5589-96-8"	"Water disinfection byproducts (Bromochloroacetic acid)"	"M980085"	"https://ntp.niehs.nih.gov/go/ts-m980085"	"C96019"	"Rats"	"F344/N"	"Female"	"Dosed-Water"	"R&M: 0, 250, 500, OR 1000 MG/L; 50/SEX/SPECIES/DOSE"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"Fibroadenoma, multiple 22/50 24/50 43/50 38/50"	"Neoplastic Lesions"	"Southern Research Institute"	"02/27/2008"	"EPA water chemical; byproduct of water chlorination"
"TR-551"	"NTP Toxicology and Carcinogenesis Studies of Isoeugenol (CASRN 97-54-1) in F344/N Rats and B6C3F1 Mice (Gavage studies)"	"97-54-1"	"Isoeugenol"	"10262-A"	"https://ntp.niehs.nih.gov/go/ts-10262-a"	"C88105"	"Rats"	"F344/N"	"Male"	"Gavage"	"R&M: 0, 75, 150, OR 300 MG/KG; 50/SEX/SPECIES/DOSE"	"Mammary Gland"	"Equivocal Evidence"	"Equivocal Evidence"	"Carcinoma 0/50 0/50 0/50 2/50"	"May Have Been Related"	"Battelle Columbus Laboratory"	"02/27/2008"	"Food flavoring agent; fragrance; in manufacture of vanillin. Found in cloves, tobacco, other plants & flowers.   Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
