"Image","CAS Number","Latest Process","PublicParticipation","Open forPublic Comments","Chemical Name"
"","3337-71-1","Registration Review","","","Asulam"
"","2302-17-2","Registration Review","","","Asulam, sodium salt"
"","11121-31-6; 12040-45-8; 12797-72-7; 1912-24-9; 39400-72-1; 69771-31-9; 93616-39-8","Registration Review","","","Atrazine"
"","492-80-8","None","","","Auramine"
"","60207-31-0","None","","","Azaconazole"
"","108168-76-9","Registration Review","","","Azadirachtin"
"","36476-78-5","None","","","Azetidine-3-carboxylic acid"
"","86-50-0","Registration Review","","","Azinphos-Methyl"
"","131860-33-8","Registration Review","","","Azoxystrobin"
"","53516-75-9","Reregistration","","","BTC 1100"
"","","Registered","","","Bacillus cereus strain BP01"
"","","Registration Review","","","Bacillus licheniformis strain SB3086"
"","","None","","","Bacillus popilliae and B. lentimorbus"
"","","Registration Review","","","Bacillus subtilis GB03"
"","","Registration Review","","","Bacillus amyloliquefaciens MBI 600 (antecedent Bacillus subtilis MBI 600)"
"","","Registration Review","","","Bacillus subtilis var. amyloliquefaciens strain FZB24"
"","68038-71-1","Reregistration","","","Bacillus thuringiensis (Berliner)"
"","","None","","","Bacillus thuringiensis sub. kurstaki strain EG7673 Coleopteran active toxin"
"","","None","","","Bacillus thuringiensis sub. kurstaki strain EG7673 Lepidopteran active toxin"
"","68038-71-1","None","","","Bacillus thuringiensis subsp. aizawai"
"","","Registration Review","","","Bacillus thuringiensis subsp. aizawai strain GC-91"
"","68038-71-1","Registration Review","","","Bacillus thuringiensis subsp. israelensis"
"","68038-71-1","Registration Review","","","Bacillus thuringiensis subsp. kurstaki"
"","","Registration Review","","","Bacillus thuringiensis subsp. kurstaki strain BMP123"
"","","Registration Review","","","Bacillus thuringiensis subsp. kurstaki strain EG2348"
"","","Registration Review","","","Bacillus thuringiensis subsp. kurstaki strain EG2371"
"","","None","","","Bacillus thuringiensis subsp. kurstaki strain EG2424"
"","68038-71-1","None","","","Bacillus thuringiensis subsp. tenebrionis"
"","","None","","","Bacillus thuringiensis subsp. tolworthi Cry9C protein and the genetic   material necessary for its production (pRVA9909) in corn plants"
"","97926-10-8","None","","","Alkyl* diethanolamide *(70% C12, 30% C14)"
"","68989-02-6","None","","","Alkyl* dimethyl 3,4-dichlorobenzyl ammonium chloride *(90%C14, 5%C16, 5%C12)"
"","68424-85-1","None","","","Alkyl* dimethyl benzyl ammonium chloride *(40%C12, 40%C14, 20%C16)"
"","8001-54-5","Reregistration","","","Alkyl* dimethyl benzyl ammonium chloride *(50%C12, 30%C14, 17%C16, 3%C18)"
"","68424-85-1","Reregistration","","","Alkyl* dimethyl benzyl ammonium chloride *(50%C14, 40%C12, 10%C16)"
"","68424-85-1","Reregistration","","","Alkyl* dimethyl benzyl ammonium chloride *(58%C14, 28%C16, 14%C12)"
"","53516-76-0","Reregistration","","","Alkyl* dimethyl benzyl ammonium chloride *(60%C14, 30%C16, 5%C18, 5%C12)"
"","61789-71-7","Reregistration","","","Alkyl* dimethyl benzyl ammonium chloride *(61% C12, 23% C14, 11% C16, 2.5% C18 2.5% C10 and trace of C8)"
"","68391-01-5","Reregistration","","","Alkyl* dimethyl benzyl ammonium chloride *(61% C12, 23% C14, 11% C16, 5% C18)"
"","8045-21-4","Reregistration","","","Alkyl* dimethyl ethylbenzyl ammonium chloride *(50%C12, 30%C14, 17%C16, 3%C18)"
"","68956-79-6","None","","","Alkyl* dimethyl ethylbenzyl ammonium chloride *(60%C14, 30%C16, 5%C12, 5%C18)"
"","85409-23-0","Reregistration","","","Alkyl* dimethyl ethylbenzyl ammonium chloride *(68%C12, 32%C14)"
"","37335-68-5","None","","","Alkyl* dimethyl ethylbenzyl ammonium cyclohexylsulfamate *(50%C12, 30%C14, 17%C16, 3%C18)"
"","57960-19-7","Registered","","","Acequinocyl"
"","63114-77-2","None","","","Acetamide, 2-chloro-N-(2,3-dimethylphenyl)-N-(1-methylethyl)-"
"","53780-36-2","Reregistration","","","Mefluidide, diethanolamine salt"
"","38827-31-5","None","","","Acetamide, N-(4-methyl-3-(((trifluoromethyl)sulfonyl)amino)phenyl)-, compd. with 2,2'-iminobis(ethanol) (1:1)"
"","103-90-2; 8055-08-1","Registration Review","","","Acetaminophen"
"","135410-20-7","Registration Review","","","Acetamiprid"
"","64700-56-7","Registration Review","","","Triclopyr, butoxyethyl ester"
"","60825-27-6","None","","","Acetic acid, ((3,5,6-trichloro-2-pyridinyl)oxy)-, ethyl ester"
"","1928-47-8","None","","","Acetic acid, (2,4,5-trichlorophenoxy)-, 2-ethylhexyl ester"
"","53404-87-8","None","","","Acetic acid, (2,4,5-trichlorophenoxy)-, compd. with (Z)-N-9-octadecenyl-1,3-propanediamine (1:1)"
"","53404-84-5","None","","","Acetic acid, (2,4,5-trichlorophenoxy)-, compd. with 1-dodecanamine (1:1)"
"","53535-37-8","None","","","Acetic acid, (2,4,5-trichlorophenoxy)-, compd. with 1-tetradecanamine"
"","53535-36-7","None","","","Acetic acid, (2,4-dichlorophenoxy)-, compd. with (Z)-N,N-dimethyl-9-octadecen-1-amine  (1:1)"
"","55256-32-1","None","","","Acetic acid, (2,4-dichlorophenoxy)-, compd. with (Z,Z)-N,N-dimethyl-9,12-octadecadien-1-amine (1:1), mixt. with (Z)-N,N-dimethyl-9-octadecen-1-amine (2,4-dichlorophenoxy)acetate"
"","6365-72-6","None","","","Acetic acid, (2,4-dichlorophenoxy)-, compd. with 1-amino-2-propanol  (1:1)"
"","37102-63-9","None","","","Acetic acid, (2,4-dichlorophenoxy)-, compd. with 1-heptanamine  (1:1)"
"","2569-01-9","None","","","Acetic acid, (2,4-dichlorophenoxy)-, compd. with 2,2',2""-nitrilotris(ethanol) (1:1)"
"","3599-58-4","None","","","Acetic acid, (2,4-dichlorophenoxy)-, compd. with 2-aminoethanol  (1:1)"
"","2646-78-8","None","","","Acetic acid, (2,4-dichlorophenoxy)-, compd. with N,N-diethylethanamine  (1:1)"
"","20940-37-8","None","","","Acetic acid, (2,4-dichlorophenoxy)-, compd. with N-ethylethanamine  (1:1)"
"","6365-73-7","None","","","Acetic acid, (2,4-dichlorophenoxy)-, compd. with morpholine  (1:1)"
"","26544-20-7","Registration Review","","","MCPA, isooctyl ester"
"","17601-49-9","None","","","Benzoic acid, 2,3,5-triiodo-, compd. with N-methylmethanamine (1:1)"
"","132-66-1","None","","","Benzoic acid, 2-((1-naphthalenylamino)carbonyl)-"
"","134-20-3","Registered","","","Methyl anthranilate"
"","134605-64-4","None","","","Benzoic acid, 2-chloro-5-[3,6-dihydro-3-methyl-2,6-dioxo-4-(trifluoromethyl)-1(2H)-pyrimidinyl]-, 1,1-dimethyl-2-oxo-2-(2-propenyloxy)ethyl ester"
"","7491-21-6","None","","","Benzoic acid, 2-hydroxy-, compd. with 1-dodecanamine (1:1)"
"","144651-06-9","None","","","Benzoic acid, 2-{{{{(4,6-dimethyl-2-pyrimidinyl)amino}carbonyl}amino}sulfonyl}-, 3-oxetanyl ester"
"","25059-78-3","None","","","Benzoic acid, 3,6-dichloro-2-methoxy-, compd with 2,2'-iminobis(ethanol)  (1:1)"
"","104040-79-1","None","","","Dicamba, diglycolamine salt"
"","55871-02-8","None","","","Dicamba, isopropylamine salt"
"","2300-66-5","None","","","Dicamba, dimethylamine salt"
"","10007-85-9","None","","","Dicamba, potassium salt"
"","147150-35-4","Registration Review","","","Cloransulam-methyl"
"","80-13-7","None","","","Benzoic acid, 4-((dichloroamino)sulfonyl)-"
"","136-47-0","None","","","Benzoic acid, 4-(butylamino)-, 2-(dimethylamino)ethyl ester, monohydrochloride"
"","112226-61-6","Registration Review","","","Halofenozide"
"","62476-59-9","Registration Review","","","Sodium acifluorfen"
"","94-36-0","None","","","Benzoyl peroxide (No longer approved for inert use)"
"","100-51-6","None","","","Benzyl alcohol"
"","120-51-4","Registration Review","","","Benylate"
"","5437-45-6","None","","","Benzyl bromoacetate"
"","3734-33-6","Registration Review","","","Benzyl diethyl ((2,6-xylylcarbamoyl)methyl) ammonium benzoate"
"","1214-39-7","Registration Review","","","Benzyladenine"
"","8007-75-8","Registration Review","","","Bergamot oil"
"","149877-41-8","Registration Review","","","Bifenazate"
"","42576-02-3","None","","","Bifenox"
"","82657-04-3","Registration Review","","","Bifenthrin"
"","28434-01-7","None","","","Bioresmethrin"
"","92-52-4","None","","","Biphenyl"
"","7437-35-6","None","","","Bis(tributyltin) adipate"
"","12379-54-3","None","","","Bis(tributyltin) dodecenylsuccinate"
"","4808-30-4","None","","","Bis(tributyltin) sulfide"
"","125401-92-5","Registration Review","","","Bispyribac-sodium"
"","8052-42-4","None","","","Bitumen"
"","8001-85-2","None","","","Bone oil"
"","1303-96-4","None","","","Borax (B4Na2O7.10H2O)"
"","10043-35-3","Registration Review","","","Boric acid"
"","7775-19-1","None","","","Boric acid (HBO2), sodium salt"
"","1303-86-2","None","","","Boric oxide"
"","76-49-3","None","","","Bornyl acetate"
"","1330-43-4","None","","","Boron sodium oxide (B4Na2O7)  (1330-43-4)"
"","12179-04-3","None","","","Boron sodium oxide (B4Na2O7), pentahydrate"
"","12008-41-2","Registration Review","","","Boron sodium oxide (B8Na2O13)  (12008-41-2)"
"","12280-03-4","None","","","Boron sodium oxide (B8Na2O13), tetrahydrate  (12280-03-4)"
"","56073-10-0","Reregistration","","","Brodifacoum"
"","314-40-9","Registration Review","","","Bromacil"
"","28772-56-7","Reregistration","","","Bromadiolone"
"","63333-35-7","Reregistration","","","Bromethalin"
"","18181-80-1","None","","","Bromopropylate"
"","1689-84-5","Registration Review","","","Bromoxynil"
"","1689-99-2","Registration Review","","","Bromoxynil octanoate"
"","69327-76-0","Registration Review","","","Buprofezin"
"","","Registered","","","Burkholderia (Pseudomonas) cepacia type Wisconsin isolate/strain M54"
"","","Registered","","","Burkholderia (pseudomonas) cepacia type Wisconsin isolate/strain J82"
"","23184-66-9","None","","","Butachlor"
"","868-14-4","None","","","Butanedioic acid, 2,3-dihydroxy- {R-(R*,R*)}-, monopotassium salt"
"","577-11-7","Registration Review","","","Butanedioic acid, sulfo-, 1,4-bis(2-ethylhexyl) ester, sodium salt"
"","6753-24-8","None","","","Butanoic acid, 4-(2,4-dichlorophenoxy)-, butyl ester"
"","1320-15-6","None","","","Butanoic acid, 4-(2,4-dichlorophenoxy)-, isooctyl ester"
"","56-12-2","Registration Review","","","Gamma-aminobutyric acid"
"","106-31-0","None","","","Butanoic acid, anhydride"
"","34681-23-7","None","","","Butoxycarboxim"
"","32357-46-3","None","","","Butoxyethanol 4-(2,4-dichlorophenoxy)butyrate"
"","2545-59-7","None","","","Butoxyethyl 2,4,5-trichlorophenoxyacetate"
"","53404-31-2","None","","","Butoxyethyl 2-(2,4-dichlorophenoxy)propionate"
"","19480-43-4","None","","","Butoxyethyl 2-methyl-4-chlorophenoxyacetate"
"","9003-13-8","None","","","Stabilene"
"","25537-26-2","None","","","Butoxypropyl silvex"
"","33629-47-9","Registration Review","","","Butralin"
"","1713-12-8","None","","","Butyl 2-methyl-4-chlorophenoxyacetate"
"","532-34-3","None","","","Butyl 3,4-dihydro-2,2-dimethyl-4-oxo-2H-pyran-6-carboxylate"
"","2008-41-5","Registration Review","","","Butylate"
"","126-22-7","None","","","Butyric acid ester of dimethyl (2,2,2-trichloro-1-hydroxyethyl)phosphonate"
"","83542-87-4","None","","","CAS Reg. No. 83542-87-4    ( Propanoic acid, 3,3-dichloro-, 2-(2-hydroxyethoxy)ethyl ester )"
"","75-60-5","Reregistration","","","Cacodylic acid"
"","124-65-2","Reregistration","","","Cacodylic acid, sodium salt"
"","513-78-0","None","","","Cadmium carbonate"
"","10108-64-2","None","","","Cadmium chloride"
"","4476-04-4","None","","","Cadmium sebacate"
"","141-00-4","None","","","Cadmium succinate"
"","19651-91-3","None","","","Cadmium, (benzenamine)bis(2-hydroxypropanoato-O1,O2)-"
"","95465-99-9","Reregistration","","","Cadusafos"
"","10137-74-3","None","","","Calcium chlorate"
"","10043-52-4","Registered","","","Calcium chloride"
"","156-62-7","None","","","Calcium cyanamide"
"","592-01-8","None","","","Calcium cyanide"
"","1305-62-0","Registration Review","","","Calcium hydroxide  (Ca(OH)2)"
"","7778-54-3","Registration Review","","","Calcium hypochlorite"
"","1305-78-8","Registration Review","","","Calcium oxide"
"","7179-50-2","None","","","Calcium oxytetracycline"
"","7758-87-4","None","","","Calcium phosphate"
"","12168-85-3","None","","","Calcium silicate"
"","7778-18-9","None","","","Calcium sulfate"
"","","None","","","Calcium tetrathiocarbonate"
"","10124-41-1","None","","","Calcium thiosulfate"
"","76-22-2","None","","","Camphor"
"","8008-51-3","None","","","Camphor oil"
"","8007-47-4","None","","","Canadian balsam"
"","","Registered","","","Candida oleophila isolate I-182"
"","120962-03-0","Registration Review","","","Canola oil"
"","136-26-5","None","","","Capric diethanolamide"
"","404-86-4","Registration Review","","","Capsaicin"
"","2939-80-2","None","","","Captafol"
"","133-06-2","Registration Review","","","Captan"
"","51543-98-7","None","","","Carbamic acid, ((4-methyl-1,3-phenylene)bis(iminocarbonyl-1H-benzimidazole-1,2-diyl))bis-, dimethyl ester"
"","","Registration Review","","","Bacillus thuringiensis subsp. israelensis strain EG2215"
"","","Registration Review","","","Bacillus thuringiensis subspecies kurstaki strain EG7841 Lepidopteran active toxin"
"","","Registration Review","","","Bacillus thuringiensis subsp. kurstaki strain EG7826"
"","","Registered","","","Bacillus thuringiensis var. kurstaki strain M-200 protein toxin"
"","101-27-9","None","","","Barban"
"","513-77-9","None","","","Barium carbonate"
"","13701-59-2","Registration Review","","","Barium metaborate   (Not selected for InertFinder)"
"","7727-43-7","None","","","Barium sulfate"
"","1332-40-7","Registration Review","","","Basic copper chloride"
"","1344-73-6","Registration Review","","","Basic copper sulfate"
"","55072-57-6","None","","","Basic copper zinc sulfate complex"
"","","Registration Review","","","Beauveria bassiana ATCC 74040"
"","","Registration Review","","","Beauveria bassiana strain 447"
"","22781-23-3","Reregistration","","","Bendiocarb"
"","1861-40-1","Registration Review","","","Benfluralin"
"","17804-35-2","Reregistration","","","Benomyl"
"","83055-99-6","Registration Review","","","Bensulfuron-methyl"
"","741-58-2","Registration Review","","","Bensulide"
"","25057-89-0","Registration Review","","","Bentazon"
"","100-52-7","None","","","Benzaldehyde"
"","64628-44-0","None","","","Benzamide, 2-chloro-N-(((4-(trifluoromethoxy)phenyl)amino)carbonyl)-"
"","113036-88-7","None","","","Benzamide, N-(((4-(((((4-chlorophenyl)cyclopropylmethylene)amino)oxy)methyl)phenyl)amino)carbonyl)-2,6-difluoro-"
"","103055-07-8","Registered","","","Lufenuron"
"","4726-14-1","None","","","Benzenamine, 4-(methylsulfonyl)-2,6-dinitro-N,N-dipropyl-"
"","71-43-2","None","","","Benzene"
"","608-73-1","None","","","Benzene hexachloride gamma isomer of ------------------------------- % other isomers of ------------------------------ %"
"","72-56-0","None","","","Benzene, 1,1'-(2,2-dichloroethylidene)bis(4-ethyl-"
"","93-15-2","Reregistration","","","Methyleugenol"
"","53905-38-7","None","","","Benzene, 1-(8-methoxy-4,8-dimethyl(nonyl)-4-(1-methylethyl)-"
"","140-67-0","Registration Review","","","p-Allylanisole"
"","145451-07-6","None","","","Benzeneacetamide, 2-?(2,5-dimethylphenoxy)methylU-.alpha.-(methoxyimino)-N-methyl-"
"","143390-89-0","Registration Review","","","Kresoxim-methyl"
"","69462-13-1","None","","","Benzeneacetic acid, 2,3,6-trichloro-, compd. with N-methylmethanamine"
"","66267-77-4","None","","","Benzeneacetic acid, 4-chloro-.alpha.-(1-methylethyl)-, cyano(3-phenoxyphenyl)methyl ester, (R-R*,S*))-"
"","121-54-0","Reregistration","","","Benzenemethanaminium, N,N-dimethyl-N-(2-(2-(4-(1,1,3,3-tetramethylbutyl)phenoxy)ethoxy)ethyl)-, chloride"
"","90823-38-4","Registration Review","","","Denatonium saccharide"
"","1079-33-0","None","","","Benzo(b)thiophene-4-ol, methylcarbamate"
"","94-09-7","None","","","Benzocaine"
"","65-85-0","Registration Review","","","Benzoic acid"
"","786-19-6","None","","","Carbophenothion"
"","55285-14-8","None","","","Carbosulfan"
"","5234-68-4","Reregistration","","","Carboxin"
"","68527-99-1","None","","","Carboxymethyl-1,1-ethylcarboxymethyl-2-undecylimidazolinium hydroxide, disodium salt"
"","128639-02-1","Registration Review","","","Carfentrazone-ethyl"
"","8001-79-4","Registration Review","","","Castor oil"
"","8007-20-3","None","","","Cedar leaf oil"
"","8000-27-9","Registration Review","","","Cedarwood oil"
"","66105-29-1","None","","","Cetiol HE"
"","36653-82-4","None","","","Cetyl alcohol"
"","33956-49-9","Registered","","","CheckMate Technical Pheromone"
"","68602-80-2","None","","","Chevron 100"
"","1398-61-4","Registration Review","","","Chitin"
"","9012-76-4","Registration Review","","","Chitosan"
"","127-52-6","None","","","Chloramine B"
"","127-65-1","None","","","Chloramine T"
"","118-75-2","None","","","Chloranil"
"","13360-45-7","None","","","Chlorbromuron"
"","12789-03-6","None","","","Chlordane, technical"
"","6164-98-3","None","","","Chlordimeform"
"","54593-83-8","Registration Review","","","Chlorethoxyfos"
"","122453-73-0","Registration Review","","","Chlorfenapyr"
"","37339-61-0","None","","","Chlorflurenol, methyl ester"
"","90982-32-4","Registration Review","","","Chlorimuron"
"","7782-50-5","Registration Review","","","Chlorine"
"","10049-04-4","Reregistration","","","Chlorine dioxide"
"","999-81-5","Reregistration","","","Chlormequat chloride"
"","10257-54-2","None","","","Copper sulfate monohydrate"
"","7758-99-8","Registration Review","","","Copper sulfate pentahydrate"
"","1111-67-7","None","","","Copper thiocyanate"
"","82027-59-6","Registration Review","","","Copper triethanolamine complex"
"","10380-28-6","Registration Review","","","Copper, bis(8-quinolinolato-N1,O8)-,"
"","8001-29-4","None","","","Cottonseed oil"
"","56-72-4","Registration Review","","","Coumaphos"
"","61789-28-4","None","","","Creosote oil (Note: Derived from any source)"
"","8021-39-4","None","","","Creosote, wood"
"","1319-77-3","None","","","Cresylic acid, coal tar acids, coal tar phenols, or coal tar cresols"
"","7700-17-6","None","","","Crotoxyphos"
"","299-86-5","None","","","Crufomate"
"","","Registered","","","CryIC derived delta endotoxin of Bacillus thuringiensis encapsulated in killed Pseudomonas fluorescens"
"","15096-52-3","Registration Review","","","Cryolite"
"","","None","","","Cube Resins other than rotenone"
"","","None","","","Cuprammonium zirconyl carbonate"
"","12168-20-6","None","","","Cupric ferric subsulfate complex"
"","1317-38-0","Reregistration","","","Cupric oxide"
"","82010-82-0","None","","","Cuprous and cupric oxide, mixed"
"","7758-89-6","Registered","","","Cuprous chloride (Cu2Cl2)"
"","1317-39-1","Registration Review","","","Cuprous oxide"
"","420-04-2","Registration Review","","","Cyanamide"
"","21725-46-2","None","","","Cyanazine"
"","120116-88-3","Registered","","","Cyazofamid"
"","113136-77-9","Registration Review","","","Cyclanilide"
"","1134-23-2","Reregistration","","","Cycloate"
"","26532-22-9","Registration Review","","","Cyclobutaneethanol, 1-methyl-2-(1-methylethenyl)-, (1R-cis)-"
"","110-82-7","None","","","Cyclohexane"
"","51971-67-6","None","","","Cyclohexanecarboxamide, 1-(4-chloro-1,3-dihydro-1,3-dioxo-2H-isoindol-2-yl)-"
"","127277-53-6","Registration Review","","","Prohexadione calcium"
"","12002-53-8","Registered","","","4(or 5)-Chloro-2-methylcyclohexanecarboxylic acid, 1,1-dimethylethyl ester"
"","55635-13-7","None","","","Cyclohexanecarboxylic acid,2,2-dimethyl-4,6-dioxo-5-{1-{(2-propenyloxy)imino}butyl}-, methyl ester, ion(1-), sodium"
"","42822-86-6","Registered","","","p-Menthane-3,8-diol"
"","108-94-1","None","","","Cyclohexanone"
"","116-04-1","None","","","Cyclopentadecatriene"
"","121-21-1","None","","","Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 2-methyl-4-oxo-3-(2,4-pentadienyl)-2-cyclopenten-1-yl ester, (1R-(1.alpha.(S*(Z)),3.beta.))-"
"","52341-33-0","Registration Review","","","Cyclopropanecarboxylic acid, 3-(2,2-dichloroethenyl)-2,2-dimethyl_, (3-phenoxyphenyl)methyl ester, cis-(.+-.)"
"","3100-04-7","Registered","","","1-Methylcyclopropene"
"","","Reregistration","","","Cydia pomonella granulosis virus"
"","68359-37-5","Registration Review","","","Cyfluthrin"
"","122008-85-9","Registration Review","","","Cyhalofop-butyl"
"","68085-85-8","None","","","Cyhalothrin"
"","13121-70-5","Registration Review","","","Cyhexatin"
"","57966-95-7","Registration Review","","","Cymoxanil"
"","52315-07-8","Registration Review","","","Cypermethrin"
"","39515-40-7","Registration Review","","","Cyphenothrin"
"","22936-86-3","None","","","Cyprazine"
"","94361-06-5","Reregistration","","","Cyproconazole"
"","121552-61-2","Registration Review","","","Cyprodinil"
"","66215-27-8","Registration Review","","","Cyromazine"
"","525-79-1","Registration Review","","","Cytokinin (as kinetin)"
"","18472-87-2","None","","","D & C Red No. 28"
"","70630-17-0","None","","","Metalaxyl-M"
"","57-92-1","Registration Review","","","Streptomycin"
"","1861-32-1","Registration Review","","","DCPA (or chlorthal-dimethyl?)"
"","144-21-8","Reregistration","","","DSMA"
"","75-99-0","None","","","Dalapon"
"","1596-84-5","Registration Review","","","Daminozide"
"","533-74-4","Registration Review","","","Dazomet"
"","123-35-3","None","","","Decatriene"
"","","Registered","","","Delta endotoxin of Bacillus thuringiensis subsp. san diego encapsulated in killed Pseudomonas fluorescens"
"","","Registered","","","Delta endotoxin of Bacillus thuringiensis variety kurstaki encapsulated in killed Pseudomonas fluorescens"
"","52918-63-5","Registration Review","","","Deltamethrin"
"","","None","","","Derris resins other than rotenone"
"","13684-56-5","Registration Review","","","Desmedipham"
"","9004-53-9","None","","","Dextrin"
"","","None","","","Di(alkyl* oxypropyl)dimethyl ammonium chloride *(60%C8, 40%C10)"
"","123-42-2","None","","","Diacetone alcohol"
"","10311-84-9","None","","","Dialifor"
"","68953-58-2","None","","","Dialkyl* dimethyl ammonium bentonite *(as in fatty acids of tallow)"
"","61789-77-3","None","","","Dialkyl* dimethyl ammonium chloride *(as in fatty acids of coconut oil)"
"","73049-75-9","Reregistration","","","Dialkyl* methyl benzyl ammonium chloride *(60% C14, 30% C16, 5% C18, 5% C12)"
"","1754-58-1","None","","","Diamidafos"
"","3566-10-7","None","","","Diammonium ethylenebis(dithiocarbamate)"
"","13464-42-1","None","","","Diarsenic acid, tetrasodium salt"
"","333-41-5","Registration Review","","","Diazinon"
"","84-74-2","None","","","Dibutyl phthalate (SEE COMMENTS)"
"","141-03-7","None","","","Dibutyl succinate"
"","1918-00-9","Reregistration","","","Dicamba"
"","8068-77-7","Pending Registration","","","Dicamba with 2,4-D"
"","1982-69-0","None","","","Dicamba, sodium salt"
"","1194-65-6","Registration Review","","","Dichlobenil"
"","50-29-3","None","","","Dichloro diphenyl trichloroethane (no longer permitted in pesticides)  (NO INERT USE)"
"","75-71-8","None","","","Dichlorodifluoromethane (No longer approved for inert use)"
"","120-36-5","None","","","Dichlorprop"
"","62-73-7","Registration Review","","","DDVP"
"","75-45-6","None","","","Chlorodifluoromethane (HCFC-22)"
"","1319-86-4","None","","","Chloromethoxypropylmercuric acetate"
"","2675-77-6","Reregistration","","","Chloroneb"
"","3691-35-8","Registered","","","Chlorophacinone"
"","76-06-2","Registration Review","","","Chloropicrin"
"","5836-10-2","None","","","Chloropropylate"
"","1897-45-6","Registration Review","","","Chlorothalonil"
"","1982-47-4","None","","","Chloroxuron"
"","88-04-0","Registration Review","","","Chloroxylenol"
"","101-21-3","Registration Review","","","Chlorpropham"
"","2921-88-2","Registration Review","","","Chlorpyrifos"
"","5598-13-0","Registration Review","","","Chlorpyrifos-methyl"
"","64902-72-3","Registration Review","","","Chlorsulfuron"
"","7738-94-5","Reregistration","","","Chromic acid"
"","87818-31-3","None","","","Cinmethylin"
"","104-55-2","Registration Review","","","Cinnamaldehyde"
"","77-92-9","Registration Review","","","Citric acid"
"","947173-77-5","Registered","","","Clarified hydrophobic neem oil"
"","99129-21-2","Registration Review","","","Clethodim"
"","105511-96-4","Registration Review","","","Clodinafop-propargyl   (CAS Reg. No.105512-06-9)"
"","82697-71-0","Registration Review","","","Clofencet"
"","74115-24-5","Registration Review","","","Clofentezine"
"","81777-89-1","Registration Review","","","Clomazone"
"","1702-17-6","Registration Review","","","Clopyralid"
"","119308-91-7","Registration Review","","","Clopyralid, triethanolamine"
"","210880-92-5","Registration Review","","","Clothianidin"
"","","None","","","Clove, Crushed"
"","8007-45-2","None","","","Coal tar"
"","8001-58-9","Reregistration","","","Coal tar creosote"
"","65996-82-9","None","","","Coal tar neutral oils"
"","61789-51-3","None","","","Cobalt naphthenate"
"","8001-31-8","None","","","Coconut oil"
"","8001-69-2","None","","","Cod liver oil"
"","","Reregistration","","","Colletotrichum gloeosporioides f. sp. aeschynomene"
"","","Registration Review","","","Coniothyrium minitans strain CON/M/91-08"
"","16828-95-8","Registration Review","","","Copper - ammonia complex"
"","1344-74-7","None","","","Copper - zinc - chromate complex"
"","12002-03-8","None","","","Copper acetoarsenite"
"","33113-08-5","Registration Review","","","Copper ammonium carbonate"
"","10103-61-4","None","","","Copper arsenate"
"","7440-50-8","Reregistration","","","Copper as elemental"
"","50376-91-5","None","","","Copper as elemental from copper - etidronic acid complex"
"","10402-15-0","Registration Review","","","Copper as metallic (in the form of chelates of copper citrate and copper gluconate)"
"","12069-69-1","Registration Review","","","Copper carbonate, basic"
"","10402-15-0","None","","","Copper citrate"
"","67989-88-2","None","","","Copper complex with ammonia and ethylene diamine tetraacetate"
"","53404-24-3","None","","","Copper dehydroabietylammonium 2-ethylhexanoate"
"","13426-91-0","Reregistration","","","Copper ethylene diamine complex"
"","20427-59-2","Registration Review","","","Copper hydroxide"
"","7721-15-5","None","","","Copper linoleate"
"","1338-02-9","Registration Review","","","Copper naphthenate"
"","1120-44-1","None","","","Copper oleate"
"","814-91-5","None","","","Copper oxalate"
"","1332-65-6","Registration Review","","","Copper oxychloride   (Cu2Cl(OH)3)"
"","8012-69-9","Registration Review","","","Copper oxychloride sulfate"
"","9007-39-0","Registration Review","","","Copper salts of fatty and rosin acids"
"","1344-72-5","None","","","Copper silicate"
"","7758-98-7","None","","","Copper sulfate (anhydrous)"
"","37574-18-8","None","","","Carbamic acid, 1H-benzimidazol-2-yl-, methyl ester, monohydrochloride"
"","52316-55-9","None","","","Carbamic acid, 1H-benzimidazol-2-yl-, methyl ester, phosphate (1:1)"
"","55406-53-6","Registration Review","","","Carbamic acid, butyl-, 3-iodo-2-propynyl ester"
"","644-64-4","None","","","Carbamic acid, dimethyl-, 1-((dimethylamino)carbonyl)-5-methyl-1H-pyrazol-3-yl ester"
"","122-42-9","Pending Registration","","","Carbamic acid, phenyl-, 1-methylethyl ester"
"","95-06-7","None","","","Carbamodithioic acid, diethyl-, 2-chloro-2-propenyl ester"
"","137-41-7","Registration Review","","","Metam-Potassium"
"","36756-79-3","None","","","Carbamothioic acid, bis(1-methylpropyl)-, S-(phenylmethyl) ester"
"","759-94-4","Registration Review","","","Carbamothioic acid, dipropyl-, S-ethyl ester"
"","63-25-2","Registration Review","","","Carbaryl"
"","10605-21-7","Registration Review","","","Carbendazim"
"","1563-66-2","Registration Review","","","Carbofuran"
"","7440-44-0","Registration Review","","","Carbon"
"","124-38-9","Registration Review","","","Carbon dioxide"
"","75-15-0","None","","","Carbon disulfide"
"","56-23-5","None","","","Carbon tetrachloride  (NO INERT USE)"
"","1066-33-7","Registered","","","Ammonium bicarbonate"
"","51609-52-0","Registration Review","","","Egg solids"
"","155569-91-8","Registration Review","","","Emamectin benzoate"
"","115-29-7","Reregistration","","","Endosulfan"
"","2164-07-0","Reregistration","","","Endothal-dipotassium"
"","145-73-3","Reregistration","","","Endothall"
